t,torDes,posDes,velDes,torAct,posAct,velAct,accelAct,i,velErr,posErr,torKdEst,torEst,i2t
0.0,0.0,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.001,0.0,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.002,0.778,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.003,0.778,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.004,1.556,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.005,1.556,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.006,2.333,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.007,2.333,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.008,3.111,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.009000000000000001,3.111,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.01,3.8890000000000002,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.011,3.8890000000000002,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.012,4.667,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.013000000000000001,4.667,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.014,5.444,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.015,5.444,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.016,6.222,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.017,6.222,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.018000000000000002,7.0,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.019,7.0,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.02,7.7780000000000005,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.021,7.7780000000000005,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.022,8.556000000000001,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.023,8.556000000000001,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.024,9.333,-3.094039249165338,0.0,0.06,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.025,9.333,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.026000000000000002,10.111,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.027,10.111,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.028,10.889,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.029,10.889,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.03,11.667,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.031,11.667,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
0.032,12.444,-3.094039249165338,0.0,-0.16,-3.094039249165338,0.01329940890019679,-19.077426108679138,0.0,-0.01329940890019679,0.0,0.0,0.0,0
