User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-1910,             0,0,             0,40,             0,-1910,             0,722,             0,5699585,             0,0,             0,0,             0,-18,             0,0
             1,1,             1,1,             1,-324,             1,-1910,             1,0,             1,40,             1,-1910,             1,722,             1,5699585,             1,0,             1,0,             1,-18,             1,0
             2,2,             2,1,             2,-610,             2,-1910,             2,0,             2,40,             2,-1910,             2,722,             2,5699585,             2,0,             2,0,             2,-18,             2,0
             3,3,             3,1,             3,-856,             3,-1910,             3,0,             3,40,             3,-1910,             3,722,             3,5699585,             3,0,             3,0,             3,-18,             3,0
             4,4,             4,1,             4,-1060,             4,-1910,             4,0,             4,40,             4,-1910,             4,722,             4,5699585,             4,0,             4,0,             4,-18,             4,0
             5,5,             5,1,             5,-1222,             5,-1910,             5,0,             5,40,             5,-1910,             5,722,             5,5699585,             5,0,             5,0,             5,-18,             5,0
             6,6,             6,1,             6,-1339,             6,-1910,             6,0,             6,40,             6,-1910,             6,722,             6,5699585,             6,0,             6,0,             6,-18,             6,0
             7,7,             7,1,             7,-1412,             7,-1910,             7,0,             7,40,             7,-1910,             7,722,             7,5699585,             7,0,             7,0,             7,-18,             7,0
             8,8,             8,1,             8,-1438,             8,-1910,             8,0,             8,40,             8,-1910,             8,722,             8,5699585,             8,0,             8,0,             8,-18,             8,0
             9,9,             9,1,             9,-1416,             9,-1910,             9,0,             9,40,             9,-1910,             9,722,             9,5699585,             9,0,             9,0,             9,-18,             9,0
            10,10,            10,1,            10,-1347,            10,-1910,            10,0,            10,40,            10,-1910,            10,722,            10,5699585,            10,0,            10,0,            10,-18,            10,0
            11,11,            11,1,            11,-1228,            11,-1910,            11,0,            11,40,            11,-1910,            11,722,            11,5699585,            11,0,            11,0,            11,-18,            11,0
            12,12,            12,1,            12,-1059,            12,-1910,            12,0,            12,40,            12,-1910,            12,722,            12,5699585,            12,0,            12,0,            12,-18,            12,0
            13,13,            13,1,            13,-841,            13,-1910,            13,0,            13,40,            13,-1910,            13,722,            13,5699585,            13,0,            13,0,            13,-18,            13,0
            14,14,            14,1,            14,-571,            14,-1910,            14,0,            14,40,            14,-1910,            14,722,            14,5699585,            14,0,            14,0,            14,-18,            14,0
            15,15,            15,1,            15,-250,            15,-1910,            15,0,            15,40,            15,-1910,            15,722,            15,5699585,            15,0,            15,0,            15,-18,            15,0
            16,16,            16,1,            16,122,            16,-1910,            16,0,            16,40,            16,-1910,            16,722,            16,5699585,            16,0,            16,0,            16,-18,            16,0
            17,17,            17,1,            17,545,            17,-1910,            17,0,            17,40,            17,-1910,            17,722,            17,5699585,            17,0,            17,0,            17,-18,            17,0
            18,18,            18,1,            18,1020,            18,-1910,            18,0,            18,40,            18,-1910,            18,722,            18,5699585,            18,0,            18,0,            18,-18,            18,0
            19,19,            19,1,            19,1546,            19,-1910,            19,0,            19,40,            19,-1910,            19,722,            19,5699585,            19,0,            19,0,            19,-18,            19,0
            20,20,            20,1,            20,2124,            20,-1910,            20,0,            20,40,            20,-1910,            20,722,            20,5699585,            20,0,            20,0,            20,-18,            20,0
            21,21,            21,1,            21,2752,            21,-1910,            21,0,            21,-80,            21,-1910,            21,722,            21,5699585,            21,0,            21,0,            21,-18,            21,0
            22,22,            22,1,            22,3430,            22,-1910,            22,0,            22,-80,            22,-1910,            22,722,            22,5699585,            22,0,            22,0,            22,-18,            22,0
            23,23,            23,1,            23,4159,            23,-1910,            23,0,            23,-80,            23,-1910,            23,722,            23,5699585,            23,0,            23,0,            23,-18,            23,0
            24,24,            24,1,            24,4936,            24,-1910,            24,0,            24,-80,            24,-1910,            24,722,            24,5699585,            24,0,            24,0,            24,-18,            24,0
            25,25,            25,1,            25,5761,            25,-1910,            25,0,            25,-80,            25,-1910,            25,722,            25,5699585,            25,0,            25,0,            25,-18,            25,0
            26,26,            26,1,            26,6633,            26,-1910,            26,0,            26,-80,            26,-1910,            26,722,            26,5699585,            26,0,            26,0,            26,-18,            26,0
            27,27,            27,1,            27,7551,            27,-1910,            27,0,            27,-80,            27,-1910,            27,722,            27,5699585,            27,0,            27,0,            27,-18,            27,0
            28,28,            28,1,            28,8514,            28,-1910,            28,0,            28,-80,            28,-1910,            28,722,            28,5699585,            28,0,            28,0,            28,-18,            28,0
