User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-1831,             0,0,             0,-280,             0,-1830,             0,-2174,             0,-5613574,             0,0,             0,0,             0,0,             0,0
             1,1,             1,1,             1,-162,             1,-1831,             1,0,             1,-280,             1,-1830,             1,-2174,             1,-5613574,             1,0,             1,0,             1,0,             1,0
             2,2,             2,1,             2,-305,             2,-1831,             2,0,             2,-280,             2,-1830,             2,-2174,             2,-5613574,             2,0,             2,0,             2,0,             2,0
             3,3,             3,1,             3,-428,             3,-1831,             3,0,             3,-280,             3,-1830,             3,-2174,             3,-5613574,             3,0,             3,0,             3,0,             3,0
             4,4,             4,1,             4,-530,             4,-1831,             4,0,             4,-280,             4,-1830,             4,-2174,             4,-5613574,             4,0,             4,0,             4,0,             4,0
             5,5,             5,1,             5,-611,             5,-1831,             5,0,             5,-280,             5,-1830,             5,-2174,             5,-5613574,             5,0,             5,0,             5,0,             5,0
             6,6,             6,1,             6,-670,             6,-1831,             6,0,             6,-280,             6,-1830,             6,-2174,             6,-5613574,             6,0,             6,0,             6,0,             6,0
             7,7,             7,1,             7,-706,             7,-1831,             7,0,             7,-280,             7,-1830,             7,-2174,             7,-5613574,             7,0,             7,0,             7,0,             7,0
             8,8,             8,1,             8,-719,             8,-1831,             8,0,             8,-280,             8,-1830,             8,-2174,             8,-5613574,             8,0,             8,0,             8,0,             8,0
             9,9,             9,1,             9,-708,             9,-1831,             9,0,             9,-280,             9,-1830,             9,-2174,             9,-5613574,             9,0,             9,0,             9,0,             9,0
            10,10,            10,1,            10,-673,            10,-1831,            10,0,            10,-280,            10,-1830,            10,-2174,            10,-5613574,            10,0,            10,0,            10,0,            10,0
            11,11,            11,1,            11,-614,            11,-1831,            11,0,            11,-280,            11,-1830,            11,-2174,            11,-5613574,            11,0,            11,0,            11,0,            11,0
            12,12,            12,1,            12,-530,            12,-1831,            12,0,            12,-280,            12,-1830,            12,-2174,            12,-5613574,            12,0,            12,0,            12,0,            12,0
            13,13,            13,1,            13,-420,            13,-1831,            13,0,            13,-280,            13,-1830,            13,-2174,            13,-5613574,            13,0,            13,0,            13,0,            13,0
            14,14,            14,1,            14,-286,            14,-1831,            14,0,            14,-280,            14,-1830,            14,-2174,            14,-5613574,            14,0,            14,0,            14,0,            14,0
            15,15,            15,1,            15,-125,            15,-1831,            15,0,            15,-180,            15,-1830,            15,-2174,            15,-5613574,            15,0,            15,0,            15,0,            15,0
            16,16,            16,1,            16,61,            16,-1831,            16,0,            16,-180,            16,-1830,            16,-2174,            16,-5613574,            16,0,            16,0,            16,0,            16,0
            17,17,            17,1,            17,273,            17,-1831,            17,0,            17,-180,            17,-1830,            17,-2174,            17,-5613574,            17,0,            17,0,            17,0,            17,0
            18,18,            18,1,            18,510,            18,-1831,            18,0,            18,-180,            18,-1830,            18,-2174,            18,-5613574,            18,0,            18,0,            18,0,            18,0
            19,19,            19,1,            19,773,            19,-1831,            19,0,            19,-180,            19,-1830,            19,-2174,            19,-5613574,            19,0,            19,0,            19,0,            19,0
            20,20,            20,1,            20,1062,            20,-1831,            20,0,            20,-180,            20,-1830,            20,-2174,            20,-5613574,            20,0,            20,0,            20,0,            20,0
            21,21,            21,1,            21,1376,            21,-1831,            21,0,            21,-180,            21,-1830,            21,-2174,            21,-5613574,            21,0,            21,0,            21,0,            21,0
            22,22,            22,1,            22,1715,            22,-1831,            22,0,            22,-180,            22,-1830,            22,-2174,            22,-5613574,            22,0,            22,0,            22,0,            22,0
            23,23,            23,1,            23,2079,            23,-1831,            23,0,            23,-180,            23,-1830,            23,-2174,            23,-5613574,            23,0,            23,0,            23,0,            23,0
            24,24,            24,1,            24,2468,            24,-1831,            24,0,            24,-180,            24,-1830,            24,-2174,            24,-5613574,            24,0,            24,0,            24,0,            24,0
            25,25,            25,1,            25,2880,            25,-1831,            25,0,            25,-180,            25,-1830,            25,-2174,            25,-5613574,            25,0,            25,0,            25,0,            25,0
            26,26,            26,1,            26,3316,            26,-1831,            26,0,            26,-180,            26,-1830,            26,-2174,            26,-5613574,            26,0,            26,0,            26,0,            26,0
            27,27,            27,1,            27,3775,            27,-1831,            27,0,            27,-180,            27,-1830,            27,-2174,            27,-5613574,            27,0,            27,0,            27,0,            27,0
            28,28,            28,1,            28,4257,            28,-1831,            28,0,            28,-180,            28,-1830,            28,-2174,            28,-5613574,            28,0,            28,0,            28,0,            28,0
            29,29,            29,1,            29,4760,            29,-1831,            29,0,            29,-180,            29,-1830,            29,-2174,            29,-5613574,            29,0,            29,0,            29,0,            29,0
            30,30,            30,1,            30,5284,            30,-1831,            30,0,            30,-60,            30,-1830,            30,-2174,            30,-5613574,            30,0,            30,0,            30,0,            30,0
            31,31,            31,1,            31,5829,            31,-1831,            31,0,            31,-60,            31,-1830,            31,-2174,            31,-5613574,            31,0,            31,0,            31,0,            31,0
            32,32,            32,1,            32,6392,            32,-1831,            32,0,            32,-60,            32,-1830,            32,-2174,            32,-5613574,            32,0,            32,0,            32,0,            32,0
            33,33,            33,1,            33,6975,            33,-1831,            33,0,            33,-60,            33,-1830,            33,-2174,            33,-5613574,            33,0,            33,0,            33,0,            33,0
            34,34,            34,1,            34,7574,            34,-1831,            34,0,            34,-60,            34,-1830,            34,-2174,            34,-5613574,            34,0,            34,0,            34,0,            34,0
            35,35,            35,1,            35,8191,            35,-1831,            35,0,            35,-60,            35,-1830,            35,-2174,            35,-5613574,            35,0,            35,0,            35,0,            35,0
            36,36,            36,1,            36,8823,            36,-1831,            36,0,            36,-60,            36,-1830,            36,-2174,            36,-5613574,            36,0,            36,0,            36,0,            36,0
            37,37,            37,1,            37,9469,            37,-1831,            37,0,            37,-60,            37,-1830,            37,-2174,            37,-5613574,            37,0,            37,0,            37,0,            37,0
            38,38,            38,1,            38,10129,            38,-1831,            38,0,            38,-60,            38,-1830,            38,-2174,            38,-5613574,            38,0,            38,0,            38,0,            38,0
            39,39,            39,1,            39,10801,            39,-1831,            39,0,            39,-60,            39,-1830,            39,-2174,            39,-5613574,            39,0,            39,0,            39,0,            39,0
            40,40,            40,1,            40,11484,            40,-1831,            40,0,            40,-60,            40,-1830,            40,-2174,            40,-5613574,            40,0,            40,0,            40,0,            40,0
            41,41,            41,1,            41,12177,            41,-1831,            41,0,            41,-60,            41,-1830,            41,-2174,            41,-5613574,            41,0,            41,0,            41,0,            41,0
            42,42,            42,1,            42,12878,            42,-1831,            42,0,            42,-60,            42,-1830,            42,-2174,            42,-5613574,            42,0,            42,0,            42,0,            42,0
            43,43,            43,1,            43,13587,            43,-1831,            43,0,            43,-60,            43,-1830,            43,-2174,            43,-5613574,            43,0,            43,0,            43,0,            43,0
