User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1993,             0,0,             0,-80,             0,1993,             0,3,             0,-476,             0,0,             0,0,             0,0,             0,0
             1,1,             1,1,             1,-133,             1,1993,             1,0,             1,-80,             1,1993,             1,3,             1,-476,             1,0,             1,0,             1,0,             1,0
             2,2,             2,1,             2,-259,             2,1993,             2,0,             2,-80,             2,1993,             2,3,             2,-476,             2,0,             2,0,             2,0,             2,0
             3,3,             3,1,             3,-377,             3,1993,             3,0,             3,-80,             3,1993,             3,3,             3,-476,             3,0,             3,0,             3,0,             3,0
             4,4,             4,1,             4,-486,             4,1993,             4,0,             4,-80,             4,1993,             4,3,             4,-476,             4,0,             4,0,             4,0,             4,0
             5,5,             5,1,             5,-588,             5,1993,             5,0,             5,-80,             5,1993,             5,3,             5,-476,             5,0,             5,0,             5,0,             5,0
             6,6,             6,1,             6,-681,             6,1993,             6,0,             6,-80,             6,1993,             6,3,             6,-476,             6,0,             6,0,             6,0,             6,0
             7,7,             7,1,             7,-765,             7,1993,             7,0,             7,-80,             7,1993,             7,3,             7,-476,             7,0,             7,0,             7,0,             7,0
             8,8,             8,1,             8,-840,             8,1993,             8,0,             8,-80,             8,1993,             8,3,             8,-476,             8,0,             8,0,             8,0,             8,0
             9,9,             9,1,             9,-907,             9,1993,             9,0,             9,-80,             9,1993,             9,3,             9,-476,             9,0,             9,0,             9,0,             9,0
            10,10,            10,1,            10,-964,            10,1993,            10,0,            10,40,            10,1993,            10,3,            10,-476,            10,0,            10,0,            10,0,            10,0
            11,11,            11,1,            11,-1012,            11,1993,            11,0,            11,40,            11,1993,            11,3,            11,-476,            11,0,            11,0,            11,0,            11,0
            12,12,            12,1,            12,-1051,            12,1993,            12,0,            12,40,            12,1993,            12,3,            12,-476,            12,0,            12,0,            12,0,            12,0
            13,13,            13,1,            13,-1081,            13,1993,            13,0,            13,40,            13,1993,            13,3,            13,-476,            13,0,            13,0,            13,0,            13,0
            14,14,            14,1,            14,-1100,            14,1993,            14,0,            14,40,            14,1993,            14,3,            14,-476,            14,0,            14,0,            14,0,            14,0
            15,15,            15,1,            15,-1110,            15,1993,            15,0,            15,40,            15,1993,            15,3,            15,-476,            15,0,            15,0,            15,0,            15,0
            16,16,            16,1,            16,-1111,            16,1993,            16,0,            16,40,            16,1993,            16,3,            16,-476,            16,0,            16,0,            16,0,            16,0
            17,17,            17,1,            17,-1101,            17,1993,            17,0,            17,40,            17,1993,            17,3,            17,-476,            17,0,            17,0,            17,0,            17,0
            18,18,            18,1,            18,-1081,            18,1993,            18,0,            18,40,            18,1993,            18,3,            18,-476,            18,0,            18,0,            18,0,            18,0
            19,19,            19,1,            19,-1051,            19,1993,            19,0,            19,40,            19,1993,            19,3,            19,-476,            19,0,            19,0,            19,0,            19,0
            20,20,            20,1,            20,-1010,            20,1993,            20,0,            20,40,            20,1993,            20,3,            20,-476,            20,0,            20,0,            20,0,            20,0
            21,21,            21,1,            21,-959,            21,1993,            21,0,            21,40,            21,1993,            21,3,            21,-476,            21,0,            21,0,            21,0,            21,0
            22,22,            22,1,            22,-898,            22,1993,            22,0,            22,40,            22,1993,            22,3,            22,-476,            22,0,            22,0,            22,0,            22,0
            23,23,            23,1,            23,-826,            23,1993,            23,0,            23,40,            23,1993,            23,3,            23,-476,            23,0,            23,0,            23,0,            23,0
            24,24,            24,1,            24,-744,            24,1993,            24,0,            24,40,            24,1993,            24,3,            24,-476,            24,0,            24,0,            24,0,            24,0
            25,25,            25,1,            25,-651,            25,1993,            25,0,            25,40,            25,1993,            25,3,            25,-476,            25,0,            25,0,            25,0,            25,0
            26,26,            26,1,            26,-547,            26,1993,            26,0,            26,40,            26,1993,            26,3,            26,-476,            26,0,            26,0,            26,0,            26,0
