User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1019,             0,0,             0,100,             0,1019,             0,24,             0,-3789,             0,0,             0,18000,             0,543,             0,0
             1,1,             1,1,             1,0,             1,1019,             1,83,             1,100,             1,1019,             1,24,             1,-3789,             1,0,             1,18000,             1,543,             1,0
             2,2,             2,1,             2,0,             2,1019,             2,166,             2,100,             2,1019,             2,24,             2,-3789,             2,0,             2,18000,             2,543,             2,0
             3,3,             3,1,             3,0,             3,1019,             3,248,             3,100,             3,1019,             3,24,             3,-3789,             3,0,             3,18000,             3,543,             3,0
             4,4,             4,1,             4,0,             4,1019,             4,331,             4,100,             4,1019,             4,24,             4,-3789,             4,0,             4,18000,             4,543,             4,0
             5,5,             5,1,             5,0,             5,1019,             5,414,             5,100,             5,1019,             5,24,             5,-3789,             5,0,             5,18000,             5,543,             5,0
             6,6,             6,1,             6,0,             6,1019,             6,497,             6,100,             6,1019,             6,24,             6,-3789,             6,0,             6,18000,             6,543,             6,0
             7,7,             7,1,             7,0,             7,1019,             7,580,             7,100,             7,1019,             7,24,             7,-3789,             7,0,             7,18000,             7,543,             7,0
             8,8,             8,1,             8,0,             8,1019,             8,663,             8,100,             8,1019,             8,24,             8,-3789,             8,0,             8,18000,             8,543,             8,0
             9,9,             9,1,             9,0,             9,1019,             9,745,             9,100,             9,1019,             9,24,             9,-3789,             9,0,             9,18000,             9,543,             9,0
            10,10,            10,1,            10,0,            10,1019,            10,828,            10,100,            10,1019,            10,24,            10,-3789,            10,0,            10,18000,            10,543,            10,0
            11,11,            11,1,            11,0,            11,1019,            11,911,            11,100,            11,1019,            11,24,            11,-3789,            11,0,            11,18000,            11,543,            11,0
            12,12,            12,1,            12,0,            12,1019,            12,994,            12,100,            12,1019,            12,24,            12,-3789,            12,0,            12,18000,            12,543,            12,0
            13,13,            13,1,            13,0,            13,1020,            13,1077,            13,100,            13,1019,            13,24,            13,-3789,            13,0,            13,18000,            13,543,            13,0
            14,14,            14,1,            14,0,            14,1020,            14,1159,            14,100,            14,1019,            14,24,            14,-3789,            14,0,            14,18000,            14,543,            14,0
            15,15,            15,1,            15,0,            15,1020,            15,1242,            15,-140,            15,1019,            15,24,            15,-3789,            15,0,            15,18000,            15,543,            15,0
            16,16,            16,1,            16,0,            16,1020,            16,1325,            16,-140,            16,1019,            16,24,            16,-3789,            16,0,            16,18000,            16,543,            16,0
            17,17,            17,1,            17,0,            17,1020,            17,1408,            17,-140,            17,1019,            17,24,            17,-3789,            17,0,            17,18000,            17,543,            17,0
            18,18,            18,1,            18,0,            18,1020,            18,1491,            18,-140,            18,1019,            18,24,            18,-3789,            18,0,            18,18000,            18,543,            18,0
            19,19,            19,1,            19,0,            19,1020,            19,1573,            19,-140,            19,1019,            19,24,            19,-3789,            19,0,            19,18000,            19,543,            19,0
            20,20,            20,1,            20,0,            20,1020,            20,1656,            20,-140,            20,1019,            20,24,            20,-3789,            20,0,            20,18000,            20,543,            20,0
            21,21,            21,1,            21,0,            21,1020,            21,1739,            21,-140,            21,1019,            21,24,            21,-3789,            21,0,            21,18000,            21,543,            21,0
            22,22,            22,1,            22,0,            22,1020,            22,1822,            22,-140,            22,1019,            22,24,            22,-3789,            22,0,            22,18000,            22,543,            22,0
            23,23,            23,1,            23,0,            23,1021,            23,1905,            23,-140,            23,1019,            23,24,            23,-3789,            23,0,            23,18000,            23,543,            23,0
            24,24,            24,1,            24,0,            24,1021,            24,1988,            24,-140,            24,1019,            24,24,            24,-3789,            24,0,            24,18000,            24,543,            24,0
            25,25,            25,1,            25,0,            25,1021,            25,2070,            25,-140,            25,1019,            25,24,            25,-3789,            25,0,            25,18000,            25,543,            25,0
            26,26,            26,1,            26,0,            26,1021,            26,2153,            26,-140,            26,1019,            26,24,            26,-3789,            26,0,            26,18000,            26,543,            26,0
            27,27,            27,1,            27,0,            27,1021,            27,2236,            27,-140,            27,1019,            27,24,            27,-3789,            27,0,            27,18000,            27,543,            27,0
