User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-2017,             0,0,             0,60,             0,-2017,             0,127,             0,-182176,             0,0,             0,0,             0,0,             0,0
             1,1,             1,1,             1,0,             1,-2017,             1,0,             1,60,             1,-2017,             1,127,             1,-182176,             1,0,             1,0,             1,0,             1,0
             2,2,             2,1,             2,778,             2,-2017,             2,0,             2,60,             2,-2017,             2,127,             2,-182176,             2,0,             2,0,             2,0,             2,0
             3,3,             3,1,             3,778,             3,-2017,             3,0,             3,60,             3,-2017,             3,127,             3,-182176,             3,0,             3,0,             3,0,             3,0
             4,4,             4,1,             4,1556,             4,-2017,             4,0,             4,60,             4,-2017,             4,127,             4,-182176,             4,0,             4,0,             4,0,             4,0
             5,5,             5,1,             5,1556,             5,-2017,             5,0,             5,60,             5,-2017,             5,127,             5,-182176,             5,0,             5,0,             5,0,             5,0
             6,6,             6,1,             6,2333,             6,-2017,             6,0,             6,60,             6,-2017,             6,127,             6,-182176,             6,0,             6,0,             6,0,             6,0
             7,7,             7,1,             7,2333,             7,-2017,             7,0,             7,60,             7,-2017,             7,127,             7,-182176,             7,0,             7,0,             7,0,             7,0
             8,8,             8,1,             8,3111,             8,-2017,             8,0,             8,60,             8,-2017,             8,127,             8,-182176,             8,0,             8,0,             8,0,             8,0
             9,9,             9,1,             9,3111,             9,-2017,             9,0,             9,60,             9,-2017,             9,127,             9,-182176,             9,0,             9,0,             9,0,             9,0
            10,10,            10,1,            10,3889,            10,-2017,            10,0,            10,60,            10,-2017,            10,127,            10,-182176,            10,0,            10,0,            10,0,            10,0
            11,11,            11,1,            11,3889,            11,-2017,            11,0,            11,60,            11,-2017,            11,127,            11,-182176,            11,0,            11,0,            11,0,            11,0
            12,12,            12,1,            12,4667,            12,-2017,            12,0,            12,60,            12,-2017,            12,127,            12,-182176,            12,0,            12,0,            12,0,            12,0
            13,13,            13,1,            13,4667,            13,-2017,            13,0,            13,60,            13,-2017,            13,127,            13,-182176,            13,0,            13,0,            13,0,            13,0
            14,14,            14,1,            14,5444,            14,-2017,            14,0,            14,60,            14,-2017,            14,127,            14,-182176,            14,0,            14,0,            14,0,            14,0
            15,15,            15,1,            15,5444,            15,-2017,            15,0,            15,60,            15,-2017,            15,127,            15,-182176,            15,0,            15,0,            15,0,            15,0
            16,16,            16,1,            16,6222,            16,-2017,            16,0,            16,60,            16,-2017,            16,127,            16,-182176,            16,0,            16,0,            16,0,            16,0
            17,17,            17,1,            17,6222,            17,-2017,            17,0,            17,60,            17,-2017,            17,127,            17,-182176,            17,0,            17,0,            17,0,            17,0
            18,18,            18,1,            18,7000,            18,-2017,            18,0,            18,60,            18,-2017,            18,127,            18,-182176,            18,0,            18,0,            18,0,            18,0
            19,19,            19,1,            19,7000,            19,-2017,            19,0,            19,60,            19,-2017,            19,127,            19,-182176,            19,0,            19,0,            19,0,            19,0
            20,20,            20,1,            20,7778,            20,-2017,            20,0,            20,60,            20,-2017,            20,127,            20,-182176,            20,0,            20,0,            20,0,            20,0
            21,21,            21,1,            21,7778,            21,-2017,            21,0,            21,60,            21,-2017,            21,127,            21,-182176,            21,0,            21,0,            21,0,            21,0
            22,22,            22,1,            22,8556,            22,-2017,            22,0,            22,60,            22,-2017,            22,127,            22,-182176,            22,0,            22,0,            22,0,            22,0
            23,23,            23,1,            23,8556,            23,-2017,            23,0,            23,60,            23,-2017,            23,127,            23,-182176,            23,0,            23,0,            23,0,            23,0
            24,24,            24,1,            24,9333,            24,-2017,            24,0,            24,60,            24,-2017,            24,127,            24,-182176,            24,0,            24,0,            24,0,            24,0
            25,25,            25,1,            25,9333,            25,-2017,            25,0,            25,-160,            25,-2017,            25,127,            25,-182176,            25,0,            25,0,            25,0,            25,0
            26,26,            26,1,            26,10111,            26,-2017,            26,0,            26,-160,            26,-2017,            26,127,            26,-182176,            26,0,            26,0,            26,0,            26,0
            27,27,            27,1,            27,10111,            27,-2017,            27,0,            27,-160,            27,-2017,            27,127,            27,-182176,            27,0,            27,0,            27,0,            27,0
            28,28,            28,1,            28,10889,            28,-2017,            28,0,            28,-160,            28,-2017,            28,127,            28,-182176,            28,0,            28,0,            28,0,            28,0
            29,29,            29,1,            29,10889,            29,-2017,            29,0,            29,-160,            29,-2017,            29,127,            29,-182176,            29,0,            29,0,            29,0,            29,0
            30,30,            30,1,            30,11667,            30,-2017,            30,0,            30,-160,            30,-2017,            30,127,            30,-182176,            30,0,            30,0,            30,0,            30,0
            31,31,            31,1,            31,11667,            31,-2017,            31,0,            31,-160,            31,-2017,            31,127,            31,-182176,            31,0,            31,0,            31,0,            31,0
            32,32,            32,1,            32,12444,            32,-2017,            32,0,            32,-160,            32,-2017,            32,127,            32,-182176,            32,0,            32,0,            32,0,            32,0
            33,33,            33,1,            33,12444,            33,-2017,            33,0,            33,-160,            33,-2017,            33,127,            33,-182176,            33,0,            33,0,            33,0,            33,0
            34,34,            34,1,            34,13222,            34,-2017,            34,0,            34,-160,            34,-2017,            34,127,            34,-182176,            34,0,            34,0,            34,0,            34,0
            35,35,            35,1,            35,13222,            35,-2017,            35,0,            35,-160,            35,-2017,            35,127,            35,-182176,            35,0,            35,0,            35,0,            35,0
            36,36,            36,1,            36,14000,            36,-2017,            36,0,            36,-160,            36,-2017,            36,127,            36,-182176,            36,0,            36,0,            36,0,            36,0
            37,37,            37,1,            37,14000,            37,-2017,            37,0,            37,-160,            37,-2017,            37,127,            37,-182176,            37,0,            37,0,            37,0,            37,0
            38,38,            38,1,            38,14778,            38,-2017,            38,0,            38,-160,            38,-2017,            38,127,            38,-182176,            38,0,            38,0,            38,0,            38,0
            39,39,            39,1,            39,14778,            39,-2017,            39,0,            39,-160,            39,-2018,            39,127,            39,-182176,            39,0,            39,0,            39,0,            39,0
            40,40,            40,1,            40,15556,            40,-2017,            40,0,            40,60,            40,-2018,            40,127,            40,-182176,            40,0,            40,0,            40,0,            40,0
            41,41,            41,1,            41,15556,            41,-2017,            41,0,            41,60,            41,-2018,            41,127,            41,-182176,            41,0,            41,0,            41,0,            41,0
            42,42,            42,1,            42,16333,            42,-2017,            42,0,            42,60,            42,-2018,            42,127,            42,-182176,            42,0,            42,0,            42,0,            42,0
            43,43,            43,1,            43,16333,            43,-2017,            43,0,            43,60,            43,-2018,            43,127,            43,-182176,            43,0,            43,0,            43,0,            43,0
            44,44,            44,1,            44,17111,            44,-2017,            44,0,            44,60,            44,-2018,            44,127,            44,-182176,            44,0,            44,0,            44,0,            44,0
            45,45,            45,1,            45,17111,            45,-2017,            45,0,            45,60,            45,-2018,            45,127,            45,-182176,            45,0,            45,0,            45,0,            45,0
            46,46,            46,1,            46,17889,            46,-2017,            46,0,            46,60,            46,-2018,            46,127,            46,-182176,            46,0,            46,0,            46,0,            46,0
            47,47,            47,1,            47,17889,            47,-2017,            47,0,            47,60,            47,-2018,            47,127,            47,-182176,            47,0,            47,0,            47,0,            47,0
            48,48,            48,1,            48,18667,            48,-2017,            48,0,            48,60,            48,-2018,            48,127,            48,-182176,            48,0,            48,0,            48,0,            48,0
            49,49,            49,1,            49,18667,            49,-2017,            49,0,            49,60,            49,-2018,            49,127,            49,-182176,            49,0,            49,0,            49,0,            49,0
            50,50,            50,1,            50,19444,            50,-2017,            50,0,            50,60,            50,-2018,            50,127,            50,-182176,            50,0,            50,0,            50,0,            50,0
            51,51,            51,1,            51,19444,            51,-2017,            51,0,            51,60,            51,-2018,            51,127,            51,-182176,            51,0,            51,0,            51,0,            51,0
            52,52,            52,1,            52,20222,            52,-2017,            52,0,            52,60,            52,-2018,            52,127,            52,-182176,            52,0,            52,0,            52,0,            52,0
            53,53,            53,1,            53,20222,            53,-2017,            53,0,            53,60,            53,-2018,            53,127,            53,-182176,            53,0,            53,0,            53,0,            53,0
            54,54,            54,1,            54,21000,            54,-2017,            54,0,            54,60,            54,-2017,            54,967,            54,-257791,            54,885,            54,0,            54,2845,            54,0
            55,55,            55,1,            55,21000,            55,-2017,            55,0,            55,1740,            55,-2017,            55,967,            55,-257791,            55,885,            55,0,            55,2845,            55,0
            56,56,            56,1,            56,21778,            56,-2017,            56,0,            56,1740,            56,-2017,            56,967,            56,-257791,            56,885,            56,0,            56,2845,            56,0
            57,57,            57,1,            57,21778,            57,-2017,            57,0,            57,1740,            57,-2017,            57,967,            57,-257791,            57,885,            57,0,            57,2845,            57,0
            58,58,            58,1,            58,22556,            58,-2017,            58,0,            58,1740,            58,-2017,            58,967,            58,-257791,            58,885,            58,0,            58,2845,            58,0
            59,59,            59,1,            59,22556,            59,-2017,            59,0,            59,1740,            59,-2017,            59,967,            59,-257791,            59,885,            59,0,            59,2845,            59,0
            60,60,            60,1,            60,23333,            60,-2017,            60,0,            60,1740,            60,-2017,            60,967,            60,-257791,            60,885,            60,0,            60,2845,            60,0
            61,61,            61,1,            61,23333,            61,-2017,            61,0,            61,1740,            61,-2017,            61,967,            61,-257791,            61,885,            61,0,            61,2845,            61,0
            62,62,            62,1,            62,24111,            62,-2017,            62,0,            62,1740,            62,-2017,            62,967,            62,-257791,            62,885,            62,0,            62,2845,            62,0
            63,63,            63,1,            63,24111,            63,-2017,            63,0,            63,1740,            63,-2017,            63,967,            63,-257791,            63,885,            63,0,            63,2845,            63,0
            64,64,            64,1,            64,24889,            64,-2017,            64,0,            64,1740,            64,-2017,            64,967,            64,-257791,            64,885,            64,0,            64,2845,            64,0
            65,65,            65,1,            65,24889,            65,-2017,            65,0,            65,1740,            65,-2017,            65,967,            65,-257791,            65,885,            65,0,            65,2845,            65,0
            66,66,            66,1,            66,25667,            66,-2017,            66,0,            66,1740,            66,-2017,            66,967,            66,-257791,            66,885,            66,0,            66,2845,            66,0
            67,67,            67,1,            67,25667,            67,-2017,            67,0,            67,1740,            67,-2017,            67,967,            67,-257791,            67,885,            67,0,            67,2845,            67,0
            68,68,            68,1,            68,26444,            68,-2017,            68,0,            68,1740,            68,-2017,            68,967,            68,-257791,            68,885,            68,0,            68,2845,            68,0
            69,69,            69,1,            69,26444,            69,-2017,            69,0,            69,1740,            69,-2016,            69,-1382,            69,-155955,            69,2588,            69,0,            69,10504,            69,0
            70,70,            70,1,            70,27222,            70,-2017,            70,0,            70,10360,            70,-2016,            70,-1382,            70,-155955,            70,2588,            70,0,            70,10504,            70,0
