User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-1792,             0,0,             0,160,             0,-1792,             0,405,             0,-62955,             0,0,             0,0,             0,0,             0,0
             1,1,             1,1,             1,0,             1,-1792,             1,0,             1,160,             1,-1792,             1,405,             1,-62955,             1,0,             1,0,             1,0,             1,0
             2,2,             2,1,             2,778,             2,-1792,             2,0,             2,160,             2,-1792,             2,405,             2,-62955,             2,0,             2,0,             2,0,             2,0
             3,3,             3,1,             3,778,             3,-1792,             3,0,             3,160,             3,-1792,             3,405,             3,-62955,             3,0,             3,0,             3,0,             3,0
             4,4,             4,1,             4,1556,             4,-1792,             4,0,             4,160,             4,-1792,             4,405,             4,-62955,             4,0,             4,0,             4,0,             4,0
             5,5,             5,1,             5,1556,             5,-1792,             5,0,             5,160,             5,-1792,             5,405,             5,-62955,             5,0,             5,0,             5,0,             5,0
             6,6,             6,1,             6,2333,             6,-1792,             6,0,             6,160,             6,-1792,             6,405,             6,-62955,             6,0,             6,0,             6,0,             6,0
             7,7,             7,1,             7,2333,             7,-1792,             7,0,             7,160,             7,-1792,             7,405,             7,-62955,             7,0,             7,0,             7,0,             7,0
             8,8,             8,1,             8,3111,             8,-1792,             8,0,             8,160,             8,-1792,             8,405,             8,-62955,             8,0,             8,0,             8,0,             8,0
             9,9,             9,1,             9,3111,             9,-1792,             9,0,             9,160,             9,-1792,             9,405,             9,-62955,             9,0,             9,0,             9,0,             9,0
            10,10,            10,1,            10,3889,            10,-1792,            10,0,            10,160,            10,-1793,            10,405,            10,-62955,            10,0,            10,0,            10,0,            10,0
            11,11,            11,1,            11,3889,            11,-1792,            11,0,            11,40,            11,-1793,            11,405,            11,-62955,            11,0,            11,0,            11,0,            11,0
            12,12,            12,1,            12,4667,            12,-1792,            12,0,            12,40,            12,-1793,            12,405,            12,-62955,            12,0,            12,0,            12,0,            12,0
            13,13,            13,1,            13,4667,            13,-1792,            13,0,            13,40,            13,-1793,            13,405,            13,-62955,            13,0,            13,0,            13,0,            13,0
            14,14,            14,1,            14,5444,            14,-1792,            14,0,            14,40,            14,-1793,            14,405,            14,-62955,            14,0,            14,0,            14,0,            14,0
            15,15,            15,1,            15,5444,            15,-1792,            15,0,            15,40,            15,-1793,            15,405,            15,-62955,            15,0,            15,0,            15,0,            15,0
            16,16,            16,1,            16,6222,            16,-1792,            16,0,            16,40,            16,-1793,            16,405,            16,-62955,            16,0,            16,0,            16,0,            16,0
            17,17,            17,1,            17,6222,            17,-1792,            17,0,            17,40,            17,-1793,            17,405,            17,-62955,            17,0,            17,0,            17,0,            17,0
            18,18,            18,1,            18,7000,            18,-1792,            18,0,            18,40,            18,-1793,            18,405,            18,-62955,            18,0,            18,0,            18,0,            18,0
            19,19,            19,1,            19,7000,            19,-1792,            19,0,            19,40,            19,-1793,            19,405,            19,-62955,            19,0,            19,0,            19,0,            19,0
            20,20,            20,1,            20,7778,            20,-1792,            20,0,            20,40,            20,-1793,            20,405,            20,-62955,            20,0,            20,0,            20,0,            20,0
            21,21,            21,1,            21,7778,            21,-1792,            21,0,            21,40,            21,-1793,            21,405,            21,-62955,            21,0,            21,0,            21,0,            21,0
            22,22,            22,1,            22,8556,            22,-1792,            22,0,            22,40,            22,-1793,            22,405,            22,-62955,            22,0,            22,0,            22,0,            22,0
            23,23,            23,1,            23,8556,            23,-1792,            23,0,            23,40,            23,-1793,            23,405,            23,-62955,            23,0,            23,0,            23,0,            23,0
            24,24,            24,1,            24,9333,            24,-1792,            24,0,            24,40,            24,-1793,            24,405,            24,-62955,            24,0,            24,0,            24,0,            24,0
            25,25,            25,1,            25,9333,            25,-1792,            25,0,            25,40,            25,-1792,            25,405,            25,-62955,            25,0,            25,0,            25,0,            25,0
            26,26,            26,1,            26,10111,            26,-1792,            26,0,            26,40,            26,-1792,            26,405,            26,-62955,            26,0,            26,0,            26,0,            26,0
            27,27,            27,1,            27,10111,            27,-1792,            27,0,            27,40,            27,-1792,            27,405,            27,-62955,            27,0,            27,0,            27,0,            27,0
            28,28,            28,1,            28,10889,            28,-1792,            28,0,            28,40,            28,-1792,            28,405,            28,-62955,            28,0,            28,0,            28,0,            28,0
            29,29,            29,1,            29,10889,            29,-1792,            29,0,            29,40,            29,-1792,            29,405,            29,-62955,            29,0,            29,0,            29,0,            29,0
            30,30,            30,1,            30,11667,            30,-1792,            30,0,            30,40,            30,-1792,            30,405,            30,-62955,            30,0,            30,0,            30,0,            30,0
            31,31,            31,1,            31,11667,            31,-1792,            31,0,            31,40,            31,-1792,            31,405,            31,-62955,            31,0,            31,0,            31,0,            31,0
            32,32,            32,1,            32,12444,            32,-1792,            32,0,            32,40,            32,-1792,            32,405,            32,-62955,            32,0,            32,0,            32,0,            32,0
            33,33,            33,1,            33,12444,            33,-1792,            33,0,            33,40,            33,-1792,            33,405,            33,-62955,            33,0,            33,0,            33,0,            33,0
            34,34,            34,1,            34,13222,            34,-1792,            34,0,            34,40,            34,-1792,            34,405,            34,-62955,            34,0,            34,0,            34,0,            34,0
            35,35,            35,1,            35,13222,            35,-1792,            35,0,            35,40,            35,-1792,            35,405,            35,-62955,            35,0,            35,0,            35,0,            35,0
            36,36,            36,1,            36,14000,            36,-1792,            36,0,            36,40,            36,-1792,            36,405,            36,-62955,            36,0,            36,0,            36,0,            36,0
            37,37,            37,1,            37,14000,            37,-1792,            37,0,            37,40,            37,-1792,            37,405,            37,-62955,            37,0,            37,0,            37,0,            37,0
            38,38,            38,1,            38,14778,            38,-1792,            38,0,            38,40,            38,-1792,            38,405,            38,-62955,            38,0,            38,0,            38,0,            38,0
            39,39,            39,1,            39,14778,            39,-1792,            39,0,            39,40,            39,-1792,            39,405,            39,-62955,            39,0,            39,0,            39,0,            39,0
            40,40,            40,1,            40,15556,            40,-1792,            40,0,            40,40,            40,-1792,            40,405,            40,-62955,            40,0,            40,0,            40,0,            40,0
            41,41,            41,1,            41,15556,            41,-1792,            41,0,            41,40,            41,-1792,            41,405,            41,-62955,            41,0,            41,0,            41,0,            41,0
            42,42,            42,1,            42,16333,            42,-1792,            42,0,            42,40,            42,-1792,            42,405,            42,-62955,            42,0,            42,0,            42,0,            42,0
            43,43,            43,1,            43,16333,            43,-1792,            43,0,            43,40,            43,-1792,            43,405,            43,-62955,            43,0,            43,0,            43,0,            43,0
            44,44,            44,1,            44,17111,            44,-1792,            44,0,            44,40,            44,-1792,            44,405,            44,-62955,            44,0,            44,0,            44,0,            44,0
            45,45,            45,1,            45,17111,            45,-1792,            45,0,            45,40,            45,-1792,            45,405,            45,-62955,            45,0,            45,0,            45,0,            45,0
            46,46,            46,1,            46,17889,            46,-1792,            46,0,            46,40,            46,-1792,            46,405,            46,-62955,            46,0,            46,0,            46,0,            46,0
            47,47,            47,1,            47,17889,            47,-1792,            47,0,            47,40,            47,-1792,            47,405,            47,-62955,            47,0,            47,0,            47,0,            47,0
            48,48,            48,1,            48,18667,            48,-1792,            48,0,            48,40,            48,-1792,            48,405,            48,-62955,            48,0,            48,0,            48,0,            48,0
            49,49,            49,1,            49,18667,            49,-1792,            49,0,            49,40,            49,-1792,            49,405,            49,-62955,            49,0,            49,0,            49,0,            49,0
            50,50,            50,1,            50,19444,            50,-1792,            50,0,            50,40,            50,-1792,            50,405,            50,-62955,            50,0,            50,0,            50,0,            50,0
            51,51,            51,1,            51,19444,            51,-1792,            51,0,            51,40,            51,-1792,            51,405,            51,-62955,            51,0,            51,0,            51,0,            51,0
            52,52,            52,1,            52,20222,            52,-1792,            52,0,            52,40,            52,-1792,            52,405,            52,-62955,            52,0,            52,0,            52,0,            52,0
            53,53,            53,1,            53,20222,            53,-1792,            53,0,            53,40,            53,-1792,            53,405,            53,-62955,            53,0,            53,0,            53,0,            53,0
            54,54,            54,1,            54,21000,            54,-1792,            54,0,            54,40,            54,-1792,            54,405,            54,-62955,            54,0,            54,0,            54,0,            54,0
            55,55,            55,1,            55,21000,            55,-1792,            55,0,            55,40,            55,-1792,            55,2708,            55,63903,            55,1092,            55,0,            55,807,            55,0
            56,56,            56,1,            56,21778,            56,-1792,            56,0,            56,280,            56,-1792,            56,2708,            56,63903,            56,1092,            56,0,            56,807,            56,0
            57,57,            57,1,            57,21778,            57,-1792,            57,0,            57,280,            57,-1792,            57,2708,            57,63903,            57,1092,            57,0,            57,807,            57,0
            58,58,            58,1,            58,22556,            58,-1792,            58,0,            58,280,            58,-1792,            58,2708,            58,63903,            58,1092,            58,0,            58,807,            58,0
            59,59,            59,1,            59,22556,            59,-1792,            59,0,            59,280,            59,-1792,            59,2708,            59,63903,            59,1092,            59,0,            59,807,            59,0
            60,60,            60,1,            60,23333,            60,-1792,            60,0,            60,280,            60,-1792,            60,2708,            60,63903,            60,1092,            60,0,            60,807,            60,0
            61,61,            61,1,            61,23333,            61,-1792,            61,0,            61,280,            61,-1792,            61,2708,            61,63903,            61,1092,            61,0,            61,807,            61,0
            62,62,            62,1,            62,24111,            62,-1792,            62,0,            62,280,            62,-1792,            62,2708,            62,63903,            62,1092,            62,0,            62,807,            62,0
            63,63,            63,1,            63,24111,            63,-1792,            63,0,            63,280,            63,-1792,            63,2708,            63,63903,            63,1092,            63,0,            63,807,            63,0
            64,64,            64,1,            64,24889,            64,-1792,            64,0,            64,280,            64,-1792,            64,2708,            64,63903,            64,1092,            64,0,            64,807,            64,0
            65,65,            65,1,            65,24889,            65,-1792,            65,0,            65,280,            65,-1792,            65,2708,            65,63903,            65,1092,            65,0,            65,807,            65,0
            66,66,            66,1,            66,25667,            66,-1792,            66,0,            66,280,            66,-1792,            66,2708,            66,63903,            66,1092,            66,0,            66,807,            66,0
            67,67,            67,1,            67,25667,            67,-1792,            67,0,            67,280,            67,-1792,            67,2708,            67,63903,            67,1092,            67,0,            67,807,            67,0
            68,68,            68,1,            68,26444,            68,-1792,            68,0,            68,280,            68,-1792,            68,2708,            68,63903,            68,1092,            68,0,            68,807,            68,0
            69,69,            69,1,            69,26444,            69,-1792,            69,0,            69,280,            69,-1792,            69,2708,            69,63903,            69,1092,            69,0,            69,807,            69,0
            70,70,            70,1,            70,27222,            70,-1792,            70,0,            70,280,            70,-1788,            70,-5925,            70,-658893,            70,2551,            70,0,            70,20237,            70,0
            71,71,            71,1,            71,27222,            71,-1792,            71,0,            71,22500,            71,-1788,            71,-5925,            71,-658893,            71,2551,            71,0,            71,20237,            71,0
            72,72,            72,1,            72,28000,            72,-1792,            72,0,            72,22500,            72,-1788,            72,-5925,            72,-658893,            72,2551,            72,0,            72,20237,            72,0
            73,73,            73,1,            73,28000,            73,-1792,            73,0,            73,22500,            73,-1788,            73,-5925,            73,-658893,            73,2551,            73,0,            73,20237,            73,0
            74,74,            74,1,            74,28778,            74,-1792,            74,0,            74,22500,            74,-1788,            74,-5925,            74,-658893,            74,2551,            74,0,            74,20237,            74,0
            75,75,            75,1,            75,28778,            75,-1792,            75,0,            75,22500,            75,-1788,            75,-5925,            75,-658893,            75,2551,            75,0,            75,20237,            75,0
            76,76,            76,1,            76,29556,            76,-1792,            76,0,            76,22500,            76,-1788,            76,-5925,            76,-658893,            76,2551,            76,0,            76,20237,            76,0
            77,77,            77,1,            77,29556,            77,-1792,            77,0,            77,22500,            77,-1788,            77,-5925,            77,-658893,            77,2551,            77,0,            77,20237,            77,0
            78,78,            78,1,            78,30333,            78,-1792,            78,0,            78,22500,            78,-1788,            78,-5925,            78,-658893,            78,2551,            78,0,            78,20237,            78,0
            79,79,            79,1,            79,30333,            79,-1792,            79,0,            79,22500,            79,-1788,            79,-5925,            79,-658893,            79,2551,            79,0,            79,20237,            79,0
            80,80,            80,1,            80,31111,            80,-1792,            80,0,            80,22500,            80,-1788,            80,-5925,            80,-658893,            80,2551,            80,0,            80,20237,            80,0
            81,81,            81,1,            81,31111,            81,-1792,            81,0,            81,22500,            81,-1788,            81,-5925,            81,-658893,            81,2551,            81,0,            81,20237,            81,0
            82,82,            82,1,            82,31889,            82,-1792,            82,0,            82,22500,            82,-1788,            82,-5925,            82,-658893,            82,2551,            82,0,            82,20237,            82,0
            83,83,            83,1,            83,31889,            83,-1792,            83,0,            83,22500,            83,-1788,            83,-5925,            83,-658893,            83,2551,            83,0,            83,20237,            83,0
            84,84,            84,1,            84,32667,            84,-1792,            84,0,            84,22500,            84,-1788,            84,-5925,            84,-658893,            84,2551,            84,0,            84,20237,            84,0
            85,85,            85,1,            85,32667,            85,-1792,            85,0,            85,22500,            85,-1787,            85,8996,            85,-1175286,            85,4436,            85,0,            85,17967,            85,0
            86,86,            86,1,            86,33444,            86,-1792,            86,0,            86,13980,            86,-1787,            86,8996,            86,-1175286,            86,4436,            86,0,            86,17967,            86,0
