User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,528,             0,0,             0,0,             0,528,             0,-18,             0,2853,             0,0,             0,0,             0,44,             0,0
             1,1,             1,1,             1,0,             1,528,             1,0,             1,0,             1,528,             1,-18,             1,2853,             1,0,             1,0,             1,44,             1,0
             2,2,             2,1,             2,778,             2,528,             2,0,             2,0,             2,528,             2,-18,             2,2853,             2,0,             2,0,             2,44,             2,0
             3,3,             3,1,             3,778,             3,528,             3,0,             3,0,             3,528,             3,-18,             3,2853,             3,0,             3,0,             3,44,             3,0
             4,4,             4,1,             4,1556,             4,528,             4,0,             4,0,             4,528,             4,-18,             4,2853,             4,0,             4,0,             4,44,             4,0
             5,5,             5,1,             5,1556,             5,528,             5,0,             5,0,             5,528,             5,-18,             5,2853,             5,0,             5,0,             5,44,             5,0
             6,6,             6,1,             6,2333,             6,528,             6,0,             6,0,             6,528,             6,-18,             6,2853,             6,0,             6,0,             6,44,             6,0
             7,7,             7,1,             7,2333,             7,528,             7,0,             7,0,             7,528,             7,-18,             7,2853,             7,0,             7,0,             7,44,             7,0
             8,8,             8,1,             8,3111,             8,528,             8,0,             8,0,             8,528,             8,-18,             8,2853,             8,0,             8,0,             8,44,             8,0
             9,9,             9,1,             9,3111,             9,528,             9,0,             9,0,             9,528,             9,-18,             9,2853,             9,0,             9,0,             9,44,             9,0
            10,10,            10,1,            10,3889,            10,528,            10,0,            10,0,            10,528,            10,-18,            10,2853,            10,0,            10,0,            10,44,            10,0
