User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1139,             0,1245,             0,-400,             0,1145,             0,646,             0,-262901,             0,0,             0,18000,             0,977,             0,0
             1,1,             1,1,             1,0,             1,1139,             1,1245,             1,-400,             1,1145,             1,646,             1,-262901,             1,0,             1,18000,             1,977,             1,0
             2,2,             2,1,             2,0,             2,1139,             2,1246,             2,-400,             2,1145,             2,646,             2,-262901,             2,0,             2,18000,             2,977,             2,0
             3,3,             3,1,             3,0,             3,1139,             3,1246,             3,-400,             3,1145,             3,646,             3,-262901,             3,0,             3,18000,             3,977,             3,0
             4,4,             4,1,             4,0,             4,1139,             4,1247,             4,-400,             4,1145,             4,646,             4,-262901,             4,0,             4,18000,             4,977,             4,0
             5,5,             5,1,             5,0,             5,1140,             5,1247,             5,-400,             5,1145,             5,646,             5,-262901,             5,0,             5,18000,             5,977,             5,0
             6,6,             6,1,             6,0,             6,1140,             6,1248,             6,-400,             6,1145,             6,646,             6,-262901,             6,0,             6,18000,             6,977,             6,0
             7,7,             7,1,             7,0,             7,1140,             7,1248,             7,-400,             7,1145,             7,646,             7,-262901,             7,0,             7,18000,             7,977,             7,0
             8,8,             8,1,             8,0,             8,1140,             8,1249,             8,-400,             8,1145,             8,646,             8,-262901,             8,0,             8,18000,             8,977,             8,0
             9,9,             9,1,             9,0,             9,1140,             9,1249,             9,-400,             9,1145,             9,646,             9,-262901,             9,0,             9,18000,             9,977,             9,0
            10,10,            10,1,            10,0,            10,1140,            10,1250,            10,-400,            10,1145,            10,646,            10,-262901,            10,0,            10,18000,            10,977,            10,0
            11,11,            11,1,            11,0,            11,1140,            11,1250,            11,40,            11,1145,            11,646,            11,-262901,            11,0,            11,18000,            11,977,            11,0
            12,12,            12,1,            12,0,            12,1140,            12,1251,            12,40,            12,1145,            12,646,            12,-262901,            12,0,            12,18000,            12,977,            12,0
            13,13,            13,1,            13,0,            13,1140,            13,1251,            13,40,            13,1145,            13,646,            13,-262901,            13,0,            13,18000,            13,977,            13,0
            14,14,            14,1,            14,0,            14,1140,            14,1252,            14,40,            14,1145,            14,646,            14,-262901,            14,0,            14,18000,            14,977,            14,0
            15,15,            15,1,            15,0,            15,1140,            15,1252,            15,40,            15,1145,            15,646,            15,-262901,            15,0,            15,18000,            15,977,            15,0
            16,16,            16,1,            16,0,            16,1140,            16,1253,            16,40,            16,1145,            16,646,            16,-262901,            16,0,            16,18000,            16,977,            16,0
            17,17,            17,1,            17,0,            17,1141,            17,1253,            17,40,            17,1145,            17,646,            17,-262901,            17,0,            17,18000,            17,977,            17,0
            18,18,            18,1,            18,0,            18,1141,            18,1254,            18,40,            18,1145,            18,646,            18,-262901,            18,0,            18,18000,            18,977,            18,0
            19,19,            19,1,            19,0,            19,1141,            19,1254,            19,40,            19,1145,            19,646,            19,-262901,            19,0,            19,18000,            19,977,            19,0
            20,20,            20,1,            20,0,            20,1141,            20,1255,            20,40,            20,1145,            20,646,            20,-262901,            20,0,            20,18000,            20,977,            20,0
            21,21,            21,1,            21,0,            21,1141,            21,1255,            21,40,            21,1145,            21,646,            21,-262901,            21,0,            21,18000,            21,977,            21,0
            22,22,            22,1,            22,0,            22,1141,            22,1256,            22,40,            22,1145,            22,646,            22,-262901,            22,0,            22,18000,            22,977,            22,0
            23,23,            23,1,            23,0,            23,1141,            23,1256,            23,40,            23,1145,            23,646,            23,-262901,            23,0,            23,18000,            23,977,            23,0
            24,24,            24,1,            24,0,            24,1141,            24,1256,            24,40,            24,1145,            24,646,            24,-262901,            24,0,            24,18000,            24,977,            24,0
            25,25,            25,1,            25,0,            25,1141,            25,1257,            25,40,            25,1146,            25,646,            25,-262901,            25,0,            25,18000,            25,977,            25,0
            26,26,            26,1,            26,0,            26,1141,            26,1257,            26,-400,            26,1146,            26,646,            26,-262901,            26,0,            26,18000,            26,977,            26,0
            27,27,            27,1,            27,0,            27,1141,            27,1258,            27,-400,            27,1146,            27,646,            27,-262901,            27,0,            27,18000,            27,977,            27,0
            28,28,            28,1,            28,0,            28,1141,            28,1258,            28,-400,            28,1146,            28,646,            28,-262901,            28,0,            28,18000,            28,977,            28,0
            29,29,            29,1,            29,0,            29,1142,            29,1259,            29,-400,            29,1146,            29,646,            29,-262901,            29,0,            29,18000,            29,977,            29,0
            30,30,            30,1,            30,0,            30,1142,            30,1259,            30,-400,            30,1146,            30,646,            30,-262901,            30,0,            30,18000,            30,977,            30,0
            31,31,            31,1,            31,0,            31,1142,            31,1260,            31,-400,            31,1146,            31,646,            31,-262901,            31,0,            31,18000,            31,977,            31,0
            32,32,            32,1,            32,0,            32,1142,            32,1260,            32,-400,            32,1146,            32,646,            32,-262901,            32,0,            32,18000,            32,977,            32,0
            33,33,            33,1,            33,0,            33,1142,            33,1260,            33,-400,            33,1146,            33,646,            33,-262901,            33,0,            33,18000,            33,977,            33,0
            34,34,            34,1,            34,0,            34,1142,            34,1261,            34,-400,            34,1146,            34,646,            34,-262901,            34,0,            34,18000,            34,977,            34,0
            35,35,            35,1,            35,0,            35,1142,            35,1261,            35,-400,            35,1146,            35,646,            35,-262901,            35,0,            35,18000,            35,977,            35,0
            36,36,            36,1,            36,0,            36,1142,            36,1262,            36,-400,            36,1146,            36,646,            36,-262901,            36,0,            36,18000,            36,977,            36,0
            37,37,            37,1,            37,0,            37,1142,            37,1262,            37,-400,            37,1146,            37,646,            37,-262901,            37,0,            37,18000,            37,977,            37,0
            38,38,            38,1,            38,0,            38,1142,            38,1263,            38,-400,            38,1146,            38,646,            38,-262901,            38,0,            38,18000,            38,977,            38,0
            39,39,            39,1,            39,0,            39,1142,            39,1263,            39,-400,            39,1146,            39,646,            39,-262901,            39,0,            39,18000,            39,977,            39,0
