User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1374,             0,1245,             0,-560,             0,1383,             0,209,             0,130063,             0,0,             0,18000,             0,796,             0,0
             1,1,             1,1,             1,0,             1,1374,             1,1245,             1,-560,             1,1383,             1,209,             1,130063,             1,0,             1,18000,             1,796,             1,0
             2,2,             2,1,             2,0,             2,1374,             2,1246,             2,-560,             2,1383,             2,209,             2,130063,             2,0,             2,18000,             2,796,             2,0
             3,3,             3,1,             3,0,             3,1374,             3,1246,             3,-560,             3,1383,             3,209,             3,130063,             3,0,             3,18000,             3,796,             3,0
             4,4,             4,1,             4,0,             4,1374,             4,1247,             4,-560,             4,1383,             4,209,             4,130063,             4,0,             4,18000,             4,796,             4,0
             5,5,             5,1,             5,0,             5,1375,             5,1247,             5,-560,             5,1383,             5,209,             5,130063,             5,0,             5,18000,             5,796,             5,0
             6,6,             6,1,             6,0,             6,1375,             6,1248,             6,-560,             6,1383,             6,209,             6,130063,             6,0,             6,18000,             6,796,             6,0
             7,7,             7,1,             7,0,             7,1375,             7,1248,             7,-560,             7,1383,             7,209,             7,130063,             7,0,             7,18000,             7,796,             7,0
             8,8,             8,1,             8,0,             8,1375,             8,1249,             8,-560,             8,1383,             8,209,             8,130063,             8,0,             8,18000,             8,796,             8,0
             9,9,             9,1,             9,0,             9,1375,             9,1249,             9,-560,             9,1383,             9,209,             9,130063,             9,0,             9,18000,             9,796,             9,0
            10,10,            10,1,            10,0,            10,1375,            10,1250,            10,-560,            10,1383,            10,209,            10,130063,            10,0,            10,18000,            10,796,            10,0
            11,11,            11,1,            11,0,            11,1375,            11,1250,            11,-560,            11,1383,            11,209,            11,130063,            11,0,            11,18000,            11,796,            11,0
            12,12,            12,1,            12,0,            12,1375,            12,1251,            12,-560,            12,1383,            12,209,            12,130063,            12,0,            12,18000,            12,796,            12,0
            13,13,            13,1,            13,0,            13,1375,            13,1251,            13,-560,            13,1384,            13,209,            13,130063,            13,0,            13,18000,            13,796,            13,0
            14,14,            14,1,            14,0,            14,1375,            14,1252,            14,-440,            14,1384,            14,209,            14,130063,            14,0,            14,18000,            14,796,            14,0
            15,15,            15,1,            15,0,            15,1375,            15,1252,            15,-440,            15,1384,            15,209,            15,130063,            15,0,            15,18000,            15,796,            15,0
            16,16,            16,1,            16,0,            16,1375,            16,1253,            16,-440,            16,1384,            16,209,            16,130063,            16,0,            16,18000,            16,796,            16,0
            17,17,            17,1,            17,0,            17,1376,            17,1253,            17,-440,            17,1384,            17,209,            17,130063,            17,0,            17,18000,            17,796,            17,0
            18,18,            18,1,            18,0,            18,1376,            18,1254,            18,-440,            18,1384,            18,209,            18,130063,            18,0,            18,18000,            18,796,            18,0
            19,19,            19,1,            19,0,            19,1376,            19,1254,            19,-440,            19,1384,            19,209,            19,130063,            19,0,            19,18000,            19,796,            19,0
            20,20,            20,1,            20,0,            20,1376,            20,1255,            20,-440,            20,1384,            20,209,            20,130063,            20,0,            20,18000,            20,796,            20,0
            21,21,            21,1,            21,0,            21,1376,            21,1255,            21,-440,            21,1384,            21,209,            21,130063,            21,0,            21,18000,            21,796,            21,0
            22,22,            22,1,            22,0,            22,1376,            22,1256,            22,-440,            22,1384,            22,209,            22,130063,            22,0,            22,18000,            22,796,            22,0
            23,23,            23,1,            23,0,            23,1376,            23,1256,            23,-440,            23,1384,            23,209,            23,130063,            23,0,            23,18000,            23,796,            23,0
            24,24,            24,1,            24,0,            24,1376,            24,1256,            24,-440,            24,1384,            24,209,            24,130063,            24,0,            24,18000,            24,796,            24,0
            25,25,            25,1,            25,0,            25,1376,            25,1257,            25,-440,            25,1384,            25,209,            25,130063,            25,0,            25,18000,            25,796,            25,0
            26,26,            26,1,            26,0,            26,1376,            26,1257,            26,-440,            26,1384,            26,209,            26,130063,            26,0,            26,18000,            26,796,            26,0
            27,27,            27,1,            27,0,            27,1376,            27,1258,            27,-440,            27,1384,            27,209,            27,130063,            27,0,            27,18000,            27,796,            27,0
            28,28,            28,1,            28,0,            28,1376,            28,1258,            28,-440,            28,1385,            28,209,            28,130063,            28,0,            28,18000,            28,796,            28,0
            29,29,            29,1,            29,0,            29,1377,            29,1259,            29,-560,            29,1385,            29,209,            29,130063,            29,0,            29,18000,            29,796,            29,0
            30,30,            30,1,            30,0,            30,1377,            30,1259,            30,-560,            30,1385,            30,209,            30,130063,            30,0,            30,18000,            30,796,            30,0
            31,31,            31,1,            31,0,            31,1377,            31,1260,            31,-560,            31,1385,            31,209,            31,130063,            31,0,            31,18000,            31,796,            31,0
            32,32,            32,1,            32,0,            32,1377,            32,1260,            32,-560,            32,1385,            32,209,            32,130063,            32,0,            32,18000,            32,796,            32,0
            33,33,            33,1,            33,0,            33,1377,            33,1260,            33,-560,            33,1385,            33,209,            33,130063,            33,0,            33,18000,            33,796,            33,0
            34,34,            34,1,            34,0,            34,1377,            34,1261,            34,-560,            34,1385,            34,209,            34,130063,            34,0,            34,18000,            34,796,            34,0
            35,35,            35,1,            35,0,            35,1377,            35,1261,            35,-560,            35,1385,            35,209,            35,130063,            35,0,            35,18000,            35,796,            35,0
            36,36,            36,1,            36,0,            36,1377,            36,1262,            36,-560,            36,1385,            36,209,            36,130063,            36,0,            36,18000,            36,796,            36,0
            37,37,            37,1,            37,0,            37,1377,            37,1262,            37,-560,            37,1385,            37,209,            37,130063,            37,0,            37,18000,            37,796,            37,0
