User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,918,             0,4983,             0,320,             0,969,             0,4095,             0,1693182,             0,541,             0,18000,             0,1176,             0,0
             1,1,             1,1,             1,0,             1,919,             1,4985,             1,320,             1,973,             1,4667,             1,-563002,             1,0,             1,18000,             1,475,             1,0
             2,2,             2,1,             2,0,             2,919,             2,4986,             2,-680,             2,973,             2,4667,             2,-563002,             2,0,             2,18000,             2,475,             2,0
             3,3,             3,1,             3,0,             3,919,             3,4987,             3,-680,             3,973,             3,4667,             3,-563002,             3,0,             3,18000,             3,475,             3,0
             4,4,             4,1,             4,0,             4,920,             4,4988,             4,-680,             4,973,             4,4667,             4,-563002,             4,0,             4,18000,             4,475,             4,0
             5,5,             5,1,             5,0,             5,920,             5,4990,             5,-680,             5,973,             5,4667,             5,-563002,             5,0,             5,18000,             5,475,             5,0
             6,6,             6,1,             6,0,             6,920,             6,4991,             6,-680,             6,973,             6,4667,             6,-563002,             6,0,             6,18000,             6,475,             6,0
             7,7,             7,1,             7,0,             7,921,             7,4992,             7,-680,             7,973,             7,4667,             7,-563002,             7,0,             7,18000,             7,475,             7,0
             8,8,             8,1,             8,0,             8,921,             8,4993,             8,-680,             8,973,             8,4667,             8,-563002,             8,0,             8,18000,             8,475,             8,0
             9,9,             9,1,             9,0,             9,921,             9,4994,             9,-680,             9,973,             9,4667,             9,-563002,             9,0,             9,18000,             9,475,             9,0
            10,10,            10,1,            10,0,            10,922,            10,4995,            10,-680,            10,973,            10,4667,            10,-563002,            10,0,            10,18000,            10,475,            10,0
            11,11,            11,1,            11,0,            11,922,            11,4995,            11,-680,            11,973,            11,4667,            11,-563002,            11,0,            11,18000,            11,475,            11,0
            12,12,            12,1,            12,0,            12,922,            12,4996,            12,-680,            12,973,            12,4667,            12,-563002,            12,0,            12,18000,            12,475,            12,0
            13,13,            13,1,            13,0,            13,923,            13,4997,            13,-680,            13,973,            13,4667,            13,-563002,            13,0,            13,18000,            13,475,            13,0
            14,14,            14,1,            14,0,            14,923,            14,4998,            14,-680,            14,973,            14,4667,            14,-563002,            14,0,            14,18000,            14,475,            14,0
            15,15,            15,1,            15,0,            15,923,            15,4998,            15,-680,            15,973,            15,4667,            15,-563002,            15,0,            15,18000,            15,475,            15,0
            16,16,            16,1,            16,0,            16,924,            16,4999,            16,-680,            16,976,            16,4667,            16,-563002,            16,0,            16,18000,            16,475,            16,0
            17,17,            17,1,            17,0,            17,924,            17,5000,            17,-2040,            17,976,            17,4667,            17,-563002,            17,0,            17,18000,            17,475,            17,0
            18,18,            18,1,            18,0,            18,924,            18,5000,            18,-2040,            18,976,            18,4667,            18,-563002,            18,0,            18,18000,            18,475,            18,0
            19,19,            19,1,            19,0,            19,925,            19,5000,            19,-2040,            19,976,            19,4667,            19,-563002,            19,0,            19,18000,            19,475,            19,0
            20,20,            20,1,            20,0,            20,925,            20,5001,            20,-2040,            20,976,            20,4667,            20,-563002,            20,0,            20,18000,            20,475,            20,0
            21,21,            21,1,            21,0,            21,926,            21,5001,            21,-2040,            21,976,            21,4667,            21,-563002,            21,0,            21,18000,            21,475,            21,0
            22,22,            22,1,            22,0,            22,926,            22,5002,            22,-2040,            22,976,            22,4667,            22,-563002,            22,0,            22,18000,            22,475,            22,0
            23,23,            23,1,            23,0,            23,926,            23,5002,            23,-2040,            23,976,            23,4667,            23,-563002,            23,0,            23,18000,            23,475,            23,0
            24,24,            24,1,            24,0,            24,927,            24,5002,            24,-2040,            24,976,            24,4667,            24,-563002,            24,0,            24,18000,            24,475,            24,0
            25,25,            25,1,            25,0,            25,927,            25,5002,            25,-2040,            25,976,            25,4667,            25,-563002,            25,0,            25,18000,            25,475,            25,0
            26,26,            26,1,            26,0,            26,927,            26,5002,            26,-2040,            26,976,            26,4667,            26,-563002,            26,0,            26,18000,            26,475,            26,0
            27,27,            27,1,            27,0,            27,928,            27,5002,            27,-2040,            27,976,            27,4667,            27,-563002,            27,0,            27,18000,            27,475,            27,0
