User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-2038,             0,5684,             0,-460,             0,-1967,             0,5088,             0,-140892,             0,0,             0,18000,             0,-1378,             0,0
             1,1,             1,1,             1,0,             1,-2037,             1,7951,             1,-460,             1,-1967,             1,5088,             1,-140892,             1,0,             1,18000,             1,-1378,             1,0
             2,2,             2,1,             2,0,             2,-2036,             2,10112,             2,-460,             2,-1967,             2,5088,             2,-140892,             2,0,             2,18000,             2,-1378,             2,0
             3,3,             3,1,             3,0,             3,-2036,             3,12138,             3,-460,             3,-1967,             3,5088,             3,-140892,             3,0,             3,18000,             3,-1378,             3,0
             4,4,             4,1,             4,0,             4,-2035,             4,14004,             4,-460,             4,-1963,             4,5088,             4,-140892,             4,0,             4,18000,             4,-1378,             4,0
             5,5,             5,1,             5,0,             5,-2034,             5,15686,             5,-1040,             5,-1963,             5,5088,             5,-140892,             5,0,             5,18000,             5,-1378,             5,0
             6,6,             6,1,             6,0,             6,-2032,             6,17162,             6,-1040,             6,-1963,             6,5088,             6,-140892,             6,0,             6,18000,             6,-1378,             6,0
             7,7,             7,1,             7,0,             7,-2031,             7,18413,             7,-1040,             7,-1963,             7,5088,             7,-140892,             7,0,             7,18000,             7,-1378,             7,0
             8,8,             8,1,             8,0,             8,-2030,             8,19423,             8,-1040,             8,-1963,             8,5088,             8,-140892,             8,0,             8,18000,             8,-1378,             8,0
             9,9,             9,1,             9,0,             9,-2028,             9,20178,             9,-1040,             9,-1963,             9,5088,             9,-140892,             9,0,             9,18000,             9,-1378,             9,0
            10,10,            10,1,            10,0,            10,-2027,            10,20668,            10,-1040,            10,-1963,            10,5088,            10,-140892,            10,0,            10,18000,            10,-1378,            10,0
            11,11,            11,1,            11,0,            11,-2026,            11,20886,            11,-1040,            11,-1963,            11,5088,            11,-140892,            11,0,            11,18000,            11,-1378,            11,0
            12,12,            12,1,            12,0,            12,-2024,            12,20829,            12,-1040,            12,-1963,            12,5088,            12,-140892,            12,0,            12,18000,            12,-1378,            12,0
            13,13,            13,1,            13,0,            13,-2023,            13,20496,            13,-1040,            13,-1963,            13,5088,            13,-140892,            13,0,            13,18000,            13,-1378,            13,0
            14,14,            14,1,            14,0,            14,-2021,            14,19892,            14,-1040,            14,-1963,            14,5088,            14,-140892,            14,0,            14,18000,            14,-1378,            14,0
            15,15,            15,1,            15,0,            15,-2020,            15,19022,            15,-1040,            15,-1963,            15,5088,            15,-140892,            15,0,            15,18000,            15,-1378,            15,0
            16,16,            16,1,            16,0,            16,-2019,            16,17898,            16,-1040,            16,-1963,            16,5088,            16,-140892,            16,0,            16,18000,            16,-1378,            16,0
