User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-850,             0,17677,             0,-680,             0,-611,             0,16118,             0,-3155304,             0,0,             0,18000,             0,3551,             0,0
             1,1,             1,1,             1,0,             1,-849,             1,17836,             1,-680,             1,-611,             1,16118,             1,-3155304,             1,0,             1,18000,             1,3551,             1,0
             2,2,             2,1,             2,0,             2,-847,             2,17678,             2,-680,             2,-611,             2,16118,             2,-3155304,             2,0,             2,18000,             2,3551,             2,0
             3,3,             3,1,             3,0,             3,-846,             3,17196,             3,-680,             3,-611,             3,16118,             3,-3155304,             3,0,             3,18000,             3,3551,             3,0
             4,4,             4,1,             4,0,             4,-845,             4,16383,             4,-680,             4,-611,             4,16118,             4,-3155304,             4,0,             4,18000,             4,3551,             4,0
             5,5,             5,1,             5,0,             5,-844,             5,15239,             5,-680,             5,-611,             5,16118,             5,-3155304,             5,0,             5,18000,             5,3551,             5,0
             6,6,             6,1,             6,0,             6,-843,             6,13766,             6,-680,             6,-611,             6,16118,             6,-3155304,             6,0,             6,18000,             6,3551,             6,0
             7,7,             7,1,             7,0,             7,-842,             7,11969,             7,-680,             7,-611,             7,16118,             7,-3155304,             7,0,             7,18000,             7,3551,             7,0
             8,8,             8,1,             8,0,             8,-842,             8,9856,             8,-680,             8,-611,             8,16118,             8,-3155304,             8,0,             8,18000,             8,3551,             8,0
             9,9,             9,1,             9,0,             9,-841,             9,7442,             9,-680,             9,-611,             9,16118,             9,-3155304,             9,0,             9,18000,             9,3551,             9,0
            10,10,            10,1,            10,0,            10,-841,            10,4744,            10,-680,            10,-611,            10,16118,            10,-3155304,            10,0,            10,18000,            10,3551,            10,0
            11,11,            11,1,            11,0,            11,-841,            11,1783,            11,-680,            11,-594,            11,16118,            11,-3155304,            11,0,            11,18000,            11,3551,            11,0
            12,12,            12,1,            12,0,            12,-841,            12,-1416,            12,-5100,            12,-594,            12,16118,            12,-3155304,            12,0,            12,18000,            12,3551,            12,0
            13,13,            13,1,            13,0,            13,-841,            13,-4824,            13,-5100,            13,-594,            13,16118,            13,-3155304,            13,0,            13,18000,            13,3551,            13,0
            14,14,            14,1,            14,0,            14,-842,            14,-8409,            14,-5100,            14,-594,            14,16118,            14,-3155304,            14,0,            14,18000,            14,3551,            14,0
            15,15,            15,1,            15,0,            15,-842,            15,-12135,            15,-5100,            15,-594,            15,16118,            15,-3155304,            15,0,            15,18000,            15,3551,            15,0
            16,16,            16,1,            16,0,            16,-844,            16,-15964,            16,-5100,            16,-594,            16,16118,            16,-3155304,            16,0,            16,18000,            16,3551,            16,0
            17,17,            17,1,            17,0,            17,-845,            17,-19855,            17,-5100,            17,-594,            17,16118,            17,-3155304,            17,0,            17,18000,            17,3551,            17,0
            18,18,            18,1,            18,0,            18,-847,            18,-23764,            18,-5100,            18,-594,            18,16118,            18,-3155304,            18,0,            18,18000,            18,3551,            18,0
            19,19,            19,1,            19,0,            19,-848,            19,-27649,            19,-5100,            19,-594,            19,16118,            19,-3155304,            19,0,            19,18000,            19,3551,            19,0
            20,20,            20,1,            20,0,            20,-851,            20,-31463,            20,-5100,            20,-594,            20,16118,            20,-3155304,            20,0,            20,18000,            20,3551,            20,0
            21,21,            21,1,            21,0,            21,-853,            21,-35160,            21,-5100,            21,-594,            21,16118,            21,-3155304,            21,0,            21,18000,            21,3551,            21,0
            22,22,            22,1,            22,0,            22,-856,            22,-38697,            22,-5100,            22,-594,            22,16118,            22,-3155304,            22,0,            22,18000,            22,3551,            22,0
            23,23,            23,1,            23,0,            23,-858,            23,-42028,            23,-5100,            23,-594,            23,16118,            23,-3155304,            23,0,            23,18000,            23,3551,            23,0
            24,24,            24,1,            24,0,            24,-862,            24,-45111,            24,-5100,            24,-594,            24,16118,            24,-3155304,            24,0,            24,18000,            24,3551,            24,0
            25,25,            25,1,            25,0,            25,-865,            25,-47905,            25,-5100,            25,-594,            25,16118,            25,-3155304,            25,0,            25,18000,            25,3551,            25,0
            26,26,            26,1,            26,0,            26,-868,            26,-50373,            26,-5100,            26,-577,            26,16118,            26,-3155304,            26,0,            26,18000,            26,3551,            26,0
