User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,282,             0,82673,             0,-1340,             0,1429,             0,82676,             0,7891824,             0,0,             0,18000,             0,-11980,             0,0
             1,1,             1,1,             1,0,             1,287,             1,81821,             1,-1340,             1,1429,             1,82676,             1,7891824,             1,0,             1,18000,             1,-11980,             1,0
             2,2,             2,1,             2,0,             2,293,             2,80827,             2,-1340,             2,1429,             2,82676,             2,7891824,             2,0,             2,18000,             2,-11980,             2,0
             3,3,             3,1,             3,0,             3,298,             3,79696,             3,-1340,             3,1429,             3,82676,             3,7891824,             3,0,             3,18000,             3,-11980,             3,0
             4,4,             4,1,             4,0,             4,304,             4,78428,             4,-1340,             4,1429,             4,82676,             4,7891824,             4,0,             4,18000,             4,-11980,             4,0
             5,5,             5,1,             5,0,             5,309,             5,77028,             5,-1340,             5,1512,             5,82676,             5,7891824,             5,0,             5,18000,             5,-11980,             5,0
             6,6,             6,1,             6,0,             6,314,             6,75500,             6,-1220,             6,1512,             6,82676,             6,7891824,             6,0,             6,18000,             6,-11980,             6,0
             7,7,             7,1,             7,0,             7,319,             7,73848,             7,-1220,             7,1512,             7,82676,             7,7891824,             7,0,             7,18000,             7,-11980,             7,0
             8,8,             8,1,             8,0,             8,324,             8,72075,             8,-1220,             8,1512,             8,82676,             8,7891824,             8,0,             8,18000,             8,-11980,             8,0
             9,9,             9,1,             9,0,             9,329,             9,70188,             9,-1220,             9,1512,             9,82676,             9,7891824,             9,0,             9,18000,             9,-11980,             9,0
            10,10,            10,1,            10,0,            10,333,            10,68192,            10,-1220,            10,1512,            10,82676,            10,7891824,            10,0,            10,18000,            10,-11980,            10,0
            11,11,            11,1,            11,0,            11,338,            11,66092,            11,-1220,            11,1512,            11,82676,            11,7891824,            11,0,            11,18000,            11,-11980,            11,0
            12,12,            12,1,            12,0,            12,342,            12,63894,            12,-1220,            12,1512,            12,82676,            12,7891824,            12,0,            12,18000,            12,-11980,            12,0
            13,13,            13,1,            13,0,            13,346,            13,61605,            13,-1220,            13,1512,            13,82676,            13,7891824,            13,0,            13,18000,            13,-11980,            13,0
            14,14,            14,1,            14,0,            14,350,            14,59231,            14,-1220,            14,1512,            14,82676,            14,7891824,            14,0,            14,18000,            14,-11980,            14,0
            15,15,            15,1,            15,0,            15,354,            15,56779,            15,-1220,            15,1512,            15,82676,            15,7891824,            15,0,            15,18000,            15,-11980,            15,0
            16,16,            16,1,            16,0,            16,358,            16,54257,            16,-1220,            16,1512,            16,82676,            16,7891824,            16,0,            16,18000,            16,-11980,            16,0
            17,17,            17,1,            17,0,            17,362,            17,51671,            17,-1220,            17,1512,            17,82676,            17,7891824,            17,0,            17,18000,            17,-11980,            17,0
            18,18,            18,1,            18,0,            18,365,            18,49029,            18,-1220,            18,1512,            18,82676,            18,7891824,            18,0,            18,18000,            18,-11980,            18,0
            19,19,            19,1,            19,0,            19,368,            19,46339,            19,-1220,            19,1512,            19,82676,            19,7891824,            19,0,            19,18000,            19,-11980,            19,0
            20,20,            20,1,            20,0,            20,371,            20,43609,            20,-1220,            20,1594,            20,82676,            20,7891824,            20,0,            20,18000,            20,-11980,            20,0
            21,21,            21,1,            21,0,            21,374,            21,40846,            21,680,            21,1594,            21,82676,            21,7891824,            21,0,            21,18000,            21,-11980,            21,0
            22,22,            22,1,            22,0,            22,376,            22,38059,            22,680,            22,1594,            22,82676,            22,7891824,            22,0,            22,18000,            22,-11980,            22,0
            23,23,            23,1,            23,0,            23,379,            23,35256,            23,680,            23,1594,            23,82676,            23,7891824,            23,0,            23,18000,            23,-11980,            23,0
            24,24,            24,1,            24,0,            24,381,            24,32444,            24,680,            24,1594,            24,82676,            24,7891824,            24,0,            24,18000,            24,-11980,            24,0
            25,25,            25,1,            25,0,            25,383,            25,29632,            25,680,            25,1594,            25,82676,            25,7891824,            25,0,            25,18000,            25,-11980,            25,0
            26,26,            26,1,            26,0,            26,385,            26,26828,            26,680,            26,1594,            26,82676,            26,7891824,            26,0,            26,18000,            26,-11980,            26,0
            27,27,            27,1,            27,0,            27,387,            27,24041,            27,680,            27,1594,            27,82676,            27,7891824,            27,0,            27,18000,            27,-11980,            27,0
            28,28,            28,1,            28,0,            28,388,            28,21277,            28,680,            28,1594,            28,82676,            28,7891824,            28,0,            28,18000,            28,-11980,            28,0
            29,29,            29,1,            29,0,            29,389,            29,18545,            29,680,            29,1594,            29,82676,            29,7891824,            29,0,            29,18000,            29,-11980,            29,0
            30,30,            30,1,            30,0,            30,390,            30,15852,            30,680,            30,1594,            30,82676,            30,7891824,            30,0,            30,18000,            30,-11980,            30,0
