User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1312,             0,0,             0,160,             0,1313,             0,253,             0,-39356,             0,0,             0,0,             0,2,             0,0
             1,1,             1,1,             1,-67,             1,1312,             1,0,             1,160,             1,1313,             1,253,             1,-39356,             1,0,             1,0,             1,2,             1,0
             2,2,             2,1,             2,-130,             2,1312,             2,0,             2,160,             2,1313,             2,253,             2,-39356,             2,0,             2,0,             2,2,             2,0
             3,3,             3,1,             3,-188,             3,1312,             3,0,             3,160,             3,1313,             3,253,             3,-39356,             3,0,             3,0,             3,2,             3,0
             4,4,             4,1,             4,-243,             4,1312,             4,0,             4,160,             4,1313,             4,253,             4,-39356,             4,0,             4,0,             4,2,             4,0
             5,5,             5,1,             5,-294,             5,1312,             5,0,             5,160,             5,1313,             5,253,             5,-39356,             5,0,             5,0,             5,2,             5,0
             6,6,             6,1,             6,-340,             6,1312,             6,0,             6,160,             6,1313,             6,253,             6,-39356,             6,0,             6,0,             6,2,             6,0
             7,7,             7,1,             7,-382,             7,1312,             7,0,             7,160,             7,1313,             7,253,             7,-39356,             7,0,             7,0,             7,2,             7,0
             8,8,             8,1,             8,-420,             8,1312,             8,0,             8,160,             8,1313,             8,253,             8,-39356,             8,0,             8,0,             8,2,             8,0
             9,8,             9,1,             9,-420,             9,1312,             9,0,             9,160,             9,1313,             9,253,             9,-39356,             9,0,             9,0,             9,2,             9,0
            10,10,            10,1,            10,-482,            10,1312,            10,0,            10,160,            10,1313,            10,253,            10,-39356,            10,0,            10,0,            10,2,            10,0
            11,11,            11,1,            11,-506,            11,1312,            11,0,            11,160,            11,1313,            11,253,            11,-39356,            11,0,            11,0,            11,2,            11,0
            12,12,            12,1,            12,-526,            12,1312,            12,0,            12,160,            12,1313,            12,253,            12,-39356,            12,0,            12,0,            12,2,            12,0
            13,13,            13,1,            13,-540,            13,1312,            13,0,            13,160,            13,1313,            13,253,            13,-39356,            13,0,            13,0,            13,2,            13,0
            14,14,            14,1,            14,-550,            14,1312,            14,0,            14,160,            14,1313,            14,253,            14,-39356,            14,0,            14,0,            14,2,            14,0
            15,15,            15,1,            15,-555,            15,1312,            15,0,            15,160,            15,1313,            15,253,            15,-39356,            15,0,            15,0,            15,2,            15,0
