User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,1796,             0,0,             0,100,             0,1795,             0,670,             0,5519827,             0,0,             0,18000,             0,172,             0,0
             1,1,             1,1,             1,0,             1,1796,             1,62,             1,100,             1,1795,             1,670,             1,5519827,             1,0,             1,18000,             1,172,             1,0
             2,2,             2,1,             2,0,             2,1796,             2,124,             2,100,             2,1795,             2,670,             2,5519827,             2,0,             2,18000,             2,172,             2,0
             3,3,             3,1,             3,0,             3,1796,             3,186,             3,100,             3,1795,             3,670,             3,5519827,             3,0,             3,18000,             3,172,             3,0
             4,4,             4,1,             4,0,             4,1796,             4,248,             4,100,             4,1795,             4,670,             4,5519827,             4,0,             4,18000,             4,172,             4,0
             5,5,             5,1,             5,0,             5,1796,             5,311,             5,100,             5,1795,             5,670,             5,5519827,             5,0,             5,18000,             5,172,             5,0
             6,6,             6,1,             6,0,             6,1796,             6,373,             6,100,             6,1795,             6,670,             6,5519827,             6,0,             6,18000,             6,172,             6,0
             7,7,             7,1,             7,0,             7,1796,             7,435,             7,100,             7,1795,             7,670,             7,5519827,             7,0,             7,18000,             7,172,             7,0
             8,8,             8,1,             8,0,             8,1796,             8,497,             8,100,             8,1795,             8,670,             8,5519827,             8,0,             8,18000,             8,172,             8,0
             9,9,             9,1,             9,0,             9,1796,             9,559,             9,100,             9,1795,             9,670,             9,5519827,             9,0,             9,18000,             9,172,             9,0
            10,10,            10,1,            10,0,            10,1796,            10,621,            10,100,            10,1795,            10,670,            10,5519827,            10,0,            10,18000,            10,172,            10,0
            11,11,            11,1,            11,0,            11,1796,            11,683,            11,100,            11,1795,            11,670,            11,5519827,            11,0,            11,18000,            11,172,            11,0
            12,12,            12,1,            12,0,            12,1796,            12,745,            12,100,            12,1795,            12,670,            12,5519827,            12,0,            12,18000,            12,172,            12,0
            13,13,            13,1,            13,0,            13,1796,            13,807,            13,100,            13,1795,            13,670,            13,5519827,            13,0,            13,18000,            13,172,            13,0
            14,14,            14,1,            14,0,            14,1796,            14,869,            14,100,            14,1796,            14,670,            14,5519827,            14,0,            14,18000,            14,172,            14,0
            15,15,            15,1,            15,0,            15,1797,            15,932,            15,-20,            15,1796,            15,670,            15,5519827,            15,0,            15,18000,            15,172,            15,0
            16,16,            16,1,            16,0,            16,1797,            16,994,            16,-20,            16,1796,            16,670,            16,5519827,            16,0,            16,18000,            16,172,            16,0
            17,17,            17,1,            17,0,            17,1797,            17,1056,            17,-20,            17,1796,            17,670,            17,5519827,            17,0,            17,18000,            17,172,            17,0
            18,18,            18,1,            18,0,            18,1797,            18,1118,            18,-20,            18,1796,            18,670,            18,5519827,            18,0,            18,18000,            18,172,            18,0
            19,19,            19,1,            19,0,            19,1797,            19,1180,            19,-20,            19,1796,            19,670,            19,5519827,            19,0,            19,18000,            19,172,            19,0
            20,20,            20,1,            20,0,            20,1797,            20,1242,            20,-20,            20,1796,            20,670,            20,5519827,            20,0,            20,18000,            20,172,            20,0
            21,21,            21,1,            21,0,            21,1797,            21,1304,            21,-20,            21,1796,            21,670,            21,5519827,            21,0,            21,18000,            21,172,            21,0
            22,22,            22,1,            22,0,            22,1797,            22,1366,            22,-20,            22,1796,            22,670,            22,5519827,            22,0,            22,18000,            22,172,            22,0
            23,23,            23,1,            23,0,            23,1797,            23,1428,            23,-20,            23,1796,            23,670,            23,5519827,            23,0,            23,18000,            23,172,            23,0
            24,24,            24,1,            24,0,            24,1797,            24,1490,            24,-20,            24,1796,            24,670,            24,5519827,            24,0,            24,18000,            24,172,            24,0
            25,25,            25,1,            25,0,            25,1797,            25,1553,            25,-20,            25,1796,            25,670,            25,5519827,            25,0,            25,18000,            25,172,            25,0
            26,26,            26,1,            26,0,            26,1797,            26,1615,            26,-20,            26,1796,            26,670,            26,5519827,            26,0,            26,18000,            26,172,            26,0
            27,27,            27,1,            27,0,            27,1798,            27,1677,            27,-20,            27,1796,            27,670,            27,5519827,            27,0,            27,18000,            27,172,            27,0
            28,28,            28,1,            28,0,            28,1798,            28,1739,            28,-20,            28,1796,            28,670,            28,5519827,            28,0,            28,18000,            28,172,            28,0
            29,29,            29,1,            29,0,            29,1798,            29,1801,            29,-20,            29,1796,            29,670,            29,5519827,            29,0,            29,18000,            29,172,            29,0
            30,30,            30,1,            30,0,            30,1798,            30,1863,            30,-20,            30,1796,            30,670,            30,5519827,            30,0,            30,18000,            30,172,            30,0
            31,31,            31,1,            31,0,            31,1798,            31,1925,            31,-20,            31,1796,            31,670,            31,5519827,            31,0,            31,18000,            31,172,            31,0
            32,32,            32,1,            32,0,            32,1798,            32,1987,            32,-20,            32,1796,            32,670,            32,5519827,            32,0,            32,18000,            32,172,            32,0
            33,33,            33,1,            33,0,            33,1798,            33,2049,            33,-20,            33,1796,            33,670,            33,5519827,            33,0,            33,18000,            33,172,            33,0
            34,34,            34,1,            34,0,            34,1799,            34,2111,            34,-20,            34,1796,            34,670,            34,5519827,            34,0,            34,18000,            34,172,            34,0
            35,35,            35,1,            35,0,            35,1799,            35,2174,            35,-20,            35,1796,            35,670,            35,5519827,            35,0,            35,18000,            35,172,            35,0
            36,36,            36,1,            36,0,            36,1799,            36,2236,            36,-20,            36,1796,            36,670,            36,5519827,            36,0,            36,18000,            36,172,            36,0
            37,37,            37,1,            37,0,            37,1799,            37,2298,            37,-20,            37,1796,            37,670,            37,5519827,            37,0,            37,18000,            37,172,            37,0
            38,38,            38,1,            38,0,            38,1799,            38,2360,            38,-20,            38,1796,            38,670,            38,5519827,            38,0,            38,18000,            38,172,            38,0
            39,39,            39,1,            39,0,            39,1799,            39,2422,            39,-20,            39,1796,            39,670,            39,5519827,            39,0,            39,18000,            39,172,            39,0
            40,40,            40,1,            40,0,            40,1799,            40,2484,            40,-20,            40,1796,            40,670,            40,5519827,            40,0,            40,18000,            40,172,            40,0
            41,41,            41,1,            41,0,            41,1800,            41,2546,            41,-20,            41,1796,            41,670,            41,5519827,            41,0,            41,18000,            41,172,            41,0
            42,42,            42,1,            42,0,            42,1800,            42,2608,            42,-20,            42,1796,            42,670,            42,5519827,            42,0,            42,18000,            42,172,            42,0
            43,43,            43,1,            43,0,            43,1800,            43,2670,            43,-20,            43,1796,            43,670,            43,5519827,            43,0,            43,18000,            43,172,            43,0
            44,44,            44,1,            44,0,            44,1800,            44,2732,            44,-20,            44,1796,            44,670,            44,5519827,            44,0,            44,18000,            44,172,            44,0
            45,45,            45,1,            45,0,            45,1800,            45,2795,            45,100,            45,1796,            45,670,            45,5519827,            45,0,            45,18000,            45,172,            45,0
            46,46,            46,1,            46,0,            46,1801,            46,2857,            46,100,            46,1796,            46,670,            46,5519827,            46,0,            46,18000,            46,172,            46,0
            47,47,            47,1,            47,0,            47,1801,            47,2919,            47,100,            47,1796,            47,670,            47,5519827,            47,0,            47,18000,            47,172,            47,0
            48,48,            48,1,            48,0,            48,1801,            48,2981,            48,100,            48,1796,            48,670,            48,5519827,            48,0,            48,18000,            48,172,            48,0
            49,49,            49,1,            49,0,            49,1801,            49,3043,            49,100,            49,1796,            49,670,            49,5519827,            49,0,            49,18000,            49,172,            49,0
            50,50,            50,1,            50,0,            50,1801,            50,3105,            50,100,            50,1796,            50,670,            50,5519827,            50,0,            50,18000,            50,172,            50,0
            51,51,            51,1,            51,0,            51,1802,            51,3167,            51,100,            51,1796,            51,670,            51,5519827,            51,0,            51,18000,            51,172,            51,0
            52,52,            52,1,            52,0,            52,1802,            52,3229,            52,100,            52,1796,            52,670,            52,5519827,            52,0,            52,18000,            52,172,            52,0
            53,53,            53,1,            53,0,            53,1802,            53,3291,            53,100,            53,1796,            53,670,            53,5519827,            53,0,            53,18000,            53,172,            53,0
            54,54,            54,1,            54,0,            54,1802,            54,3353,            54,100,            54,1796,            54,670,            54,5519827,            54,0,            54,18000,            54,172,            54,0
            55,55,            55,1,            55,0,            55,1803,            55,3416,            55,100,            55,1796,            55,670,            55,5519827,            55,0,            55,18000,            55,172,            55,0
            56,56,            56,1,            56,0,            56,1803,            56,3478,            56,100,            56,1796,            56,670,            56,5519827,            56,0,            56,18000,            56,172,            56,0
