User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,-1065,             0,0,             0,20,             0,-1066,             0,917,             0,5600927,             0,0,             0,0,             0,0,             0,0
             1,1,             1,1,             1,-53,             1,-1065,             1,0,             1,-80,             1,-1066,             1,917,             1,5600927,             1,0,             1,0,             1,0,             1,0
             2,2,             2,1,             2,-97,             2,-1065,             2,0,             2,-80,             2,-1066,             2,917,             2,5600927,             2,0,             2,0,             2,0,             2,0
             3,3,             3,1,             3,-132,             3,-1065,             3,0,             3,-80,             3,-1066,             3,917,             3,5600927,             3,0,             3,0,             3,0,             3,0
             4,4,             4,1,             4,-155,             4,-1065,             4,0,             4,-80,             4,-1066,             4,917,             4,5600927,             4,0,             4,0,             4,0,             4,0
             5,5,             5,1,             5,-168,             5,-1065,             5,0,             5,-80,             5,-1066,             5,917,             5,5600927,             5,0,             5,0,             5,0,             5,0
             6,6,             6,1,             6,-170,             6,-1065,             6,0,             6,-80,             6,-1066,             6,917,             6,5600927,             6,0,             6,0,             6,0,             6,0
             7,7,             7,1,             7,-161,             7,-1065,             7,0,             7,-80,             7,-1066,             7,917,             7,5600927,             7,0,             7,0,             7,0,             7,0
             8,8,             8,1,             8,-139,             8,-1065,             8,0,             8,-80,             8,-1066,             8,917,             8,5600927,             8,0,             8,0,             8,0,             8,0
             9,9,             9,1,             9,-106,             9,-1065,             9,0,             9,-80,             9,-1066,             9,917,             9,5600927,             9,0,             9,0,             9,0,             9,0
            10,10,            10,1,            10,-60,            10,-1065,            10,0,            10,-80,            10,-1066,            10,917,            10,5600927,            10,0,            10,0,            10,0,            10,0
            11,11,            11,1,            11,-2,            11,-1065,            11,0,            11,-80,            11,-1066,            11,917,            11,5600927,            11,0,            11,0,            11,0,            11,0
            12,12,            12,1,            12,69,            12,-1065,            12,0,            12,-80,            12,-1066,            12,917,            12,5600927,            12,0,            12,0,            12,0,            12,0
            13,13,            13,1,            13,152,            13,-1065,            13,0,            13,-80,            13,-1066,            13,917,            13,5600927,            13,0,            13,0,            13,0,            13,0
            14,14,            14,1,            14,248,            14,-1065,            14,0,            14,-80,            14,-1066,            14,917,            14,5600927,            14,0,            14,0,            14,0,            14,0
            15,15,            15,1,            15,355,            15,-1065,            15,0,            15,-80,            15,-1065,            15,917,            15,5600927,            15,0,            15,0,            15,0,            15,0
            16,16,            16,1,            16,475,            16,-1065,            16,0,            16,20,            16,-1065,            16,917,            16,5600927,            16,0,            16,0,            16,0,            16,0
            17,17,            17,1,            17,607,            17,-1065,            17,0,            17,20,            17,-1065,            17,917,            17,5600927,            17,0,            17,0,            17,0,            17,0
            18,18,            18,1,            18,750,            18,-1065,            18,0,            18,20,            18,-1065,            18,917,            18,5600927,            18,0,            18,0,            18,0,            18,0
            19,19,            19,1,            19,904,            19,-1065,            19,0,            19,20,            19,-1065,            19,917,            19,5600927,            19,0,            19,0,            19,0,            19,0
            20,20,            20,1,            20,1069,            20,-1065,            20,0,            20,20,            20,-1065,            20,917,            20,5600927,            20,0,            20,0,            20,0,            20,0
            21,21,            21,1,            21,1243,            21,-1065,            21,0,            21,20,            21,-1065,            21,917,            21,5600927,            21,0,            21,0,            21,0,            21,0
            22,22,            22,1,            22,1428,            22,-1065,            22,0,            22,20,            22,-1065,            22,917,            22,5600927,            22,0,            22,0,            22,0,            22,0
            23,23,            23,1,            23,1621,            23,-1065,            23,0,            23,20,            23,-1065,            23,917,            23,5600927,            23,0,            23,0,            23,0,            23,0
            24,24,            24,1,            24,1822,            24,-1065,            24,0,            24,20,            24,-1065,            24,917,            24,5600927,            24,0,            24,0,            24,0,            24,0
            25,25,            25,1,            25,2031,            25,-1065,            25,0,            25,20,            25,-1065,            25,917,            25,5600927,            25,0,            25,0,            25,0,            25,0
            26,26,            26,1,            26,2247,            26,-1065,            26,0,            26,20,            26,-1065,            26,917,            26,5600927,            26,0,            26,0,            26,0,            26,0
            27,27,            27,1,            27,2468,            27,-1065,            27,0,            27,20,            27,-1065,            27,917,            27,5600927,            27,0,            27,0,            27,0,            27,0
            28,28,            28,1,            28,2695,            28,-1065,            28,0,            28,20,            28,-1065,            28,917,            28,5600927,            28,0,            28,0,            28,0,            28,0
            29,29,            29,1,            29,2925,            29,-1065,            29,0,            29,20,            29,-1065,            29,917,            29,5600927,            29,0,            29,0,            29,0,            29,0
            30,30,            30,1,            30,3159,            30,-1065,            30,0,            30,20,            30,-1066,            30,917,            30,5600927,            30,0,            30,0,            30,0,            30,0
            31,31,            31,1,            31,3395,            31,-1065,            31,0,            31,140,            31,-1066,            31,917,            31,5600927,            31,0,            31,0,            31,0,            31,0
            32,32,            32,1,            32,3632,            32,-1065,            32,0,            32,140,            32,-1066,            32,917,            32,5600927,            32,0,            32,0,            32,0,            32,0
            33,33,            33,1,            33,3870,            33,-1065,            33,0,            33,140,            33,-1066,            33,917,            33,5600927,            33,0,            33,0,            33,0,            33,0
            34,34,            34,1,            34,4106,            34,-1065,            34,0,            34,140,            34,-1066,            34,917,            34,5600927,            34,0,            34,0,            34,0,            34,0
            35,35,            35,1,            35,4341,            35,-1065,            35,0,            35,140,            35,-1066,            35,917,            35,5600927,            35,0,            35,0,            35,0,            35,0
            36,36,            36,1,            36,4573,            36,-1065,            36,0,            36,140,            36,-1066,            36,917,            36,5600927,            36,0,            36,0,            36,0,            36,0
            37,37,            37,1,            37,4801,            37,-1065,            37,0,            37,140,            37,-1066,            37,917,            37,5600927,            37,0,            37,0,            37,0,            37,0
            38,38,            38,1,            38,5024,            38,-1065,            38,0,            38,140,            38,-1066,            38,917,            38,5600927,            38,0,            38,0,            38,0,            38,0
            39,39,            39,1,            39,5241,            39,-1065,            39,0,            39,140,            39,-1066,            39,917,            39,5600927,            39,0,            39,0,            39,0,            39,0
            40,40,            40,1,            40,5451,            40,-1065,            40,0,            40,140,            40,-1066,            40,917,            40,5600927,            40,0,            40,0,            40,0,            40,0
            41,41,            41,1,            41,5653,            41,-1065,            41,0,            41,140,            41,-1066,            41,917,            41,5600927,            41,0,            41,0,            41,0,            41,0
            42,42,            42,1,            42,5847,            42,-1065,            42,0,            42,140,            42,-1066,            42,917,            42,5600927,            42,0,            42,0,            42,0,            42,0
            43,43,            43,1,            43,6031,            43,-1065,            43,0,            43,140,            43,-1066,            43,917,            43,5600927,            43,0,            43,0,            43,0,            43,0
            44,44,            44,1,            44,6204,            44,-1065,            44,0,            44,140,            44,-1066,            44,917,            44,5600927,            44,0,            44,0,            44,0,            44,0
            45,45,            45,1,            45,6367,            45,-1065,            45,0,            45,140,            45,-1066,            45,917,            45,5600927,            45,0,            45,0,            45,0,            45,0
            46,46,            46,1,            46,6517,            46,-1065,            46,0,            46,20,            46,-1066,            46,917,            46,5600927,            46,0,            46,0,            46,0,            46,0
            47,47,            47,1,            47,6654,            47,-1065,            47,0,            47,20,            47,-1066,            47,917,            47,5600927,            47,0,            47,0,            47,0,            47,0
            48,48,            48,1,            48,6779,            48,-1065,            48,0,            48,20,            48,-1066,            48,917,            48,5600927,            48,0,            48,0,            48,0,            48,0
            49,49,            49,1,            49,6889,            49,-1065,            49,0,            49,20,            49,-1066,            49,917,            49,5600927,            49,0,            49,0,            49,0,            49,0
            50,50,            50,1,            50,6985,            50,-1065,            50,0,            50,20,            50,-1066,            50,917,            50,5600927,            50,0,            50,0,            50,0,            50,0
            51,51,            51,1,            51,7066,            51,-1065,            51,0,            51,20,            51,-1066,            51,917,            51,5600927,            51,0,            51,0,            51,0,            51,0
            52,52,            52,1,            52,7133,            52,-1065,            52,0,            52,20,            52,-1066,            52,917,            52,5600927,            52,0,            52,0,            52,0,            52,0
            53,53,            53,1,            53,7184,            53,-1065,            53,0,            53,20,            53,-1066,            53,917,            53,5600927,            53,0,            53,0,            53,0,            53,0
            54,54,            54,1,            54,7219,            54,-1065,            54,0,            54,20,            54,-1066,            54,917,            54,5600927,            54,0,            54,0,            54,0,            54,0
            55,55,            55,1,            55,7239,            55,-1065,            55,0,            55,20,            55,-1066,            55,917,            55,5600927,            55,0,            55,0,            55,0,            55,0
            56,56,            56,1,            56,7244,            56,-1065,            56,0,            56,20,            56,-1066,            56,917,            56,5600927,            56,0,            56,0,            56,0,            56,0
            57,57,            57,1,            57,7233,            57,-1065,            57,0,            57,20,            57,-1066,            57,917,            57,5600927,            57,0,            57,0,            57,0,            57,0
            58,58,            58,1,            58,7206,            58,-1065,            58,0,            58,20,            58,-1066,            58,917,            58,5600927,            58,0,            58,0,            58,0,            58,0
            59,59,            59,1,            59,7165,            59,-1065,            59,0,            59,20,            59,-1066,            59,917,            59,5600927,            59,0,            59,0,            59,0,            59,0
            60,60,            60,1,            60,7109,            60,-1065,            60,0,            60,20,            60,-1065,            60,4,            60,1549846,            60,44,            60,0,            60,322,            60,0
            61,61,            61,1,            61,7039,            61,-1065,            61,0,            61,-80,            61,-1065,            61,4,            61,1549846,            61,44,            61,0,            61,322,            61,0
            62,62,            62,1,            62,6955,            62,-1065,            62,0,            62,-80,            62,-1065,            62,4,            62,1549846,            62,44,            62,0,            62,322,            62,0
