User Parameter [0x2201/31],,User Parameter [0x2201/99],,User Parameter [0x2201/20],,User Parameter [0x2201/93],,User Parameter [0x2201/97],,User Parameter [0x2201/1],,1: PO_BUSMOD_VALUE [0x4C01/2],,1: PO_BUSMOD_VALUE [0x4C01/5],,1: PO_BUSMOD_VALUE [0x4C01/6],,1: PO_BUSMOD_VALUE [0x4C01/3],,User Parameter [0x2201/69],,1: PO_BUSMOD_VALUE [0x4C01/7],,1: PO_BUSMOD_VALUE [0x4C01/8],
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
             0,0,             0,1,             0,0,             0,371,             0,5684,             0,820,             0,433,             0,5206,             0,-291673,             0,679,             0,18000,             0,1388,             0,0
             1,1,             1,1,             1,0,             1,372,             1,6857,             1,820,             1,439,             1,4395,             1,-845582,             1,0,             1,18000,             1,2616,             1,0
             2,2,             2,1,             2,0,             2,372,             2,8006,             2,-860,             2,439,             2,4395,             2,-845582,             2,0,             2,18000,             2,2616,             2,0
             3,3,             3,1,             3,0,             3,373,             3,9129,             3,-860,             3,439,             3,4395,             3,-845582,             3,0,             3,18000,             3,2616,             3,0
             4,4,             4,1,             4,0,             4,374,             4,10222,             4,-860,             4,439,             4,4395,             4,-845582,             4,0,             4,18000,             4,2616,             4,0
             5,5,             5,1,             5,0,             5,374,             5,11282,             5,-860,             5,439,             5,4395,             5,-845582,             5,0,             5,18000,             5,2616,             5,0
             6,6,             6,1,             6,0,             6,375,             6,12304,             6,-860,             6,439,             6,4395,             6,-845582,             6,0,             6,18000,             6,2616,             6,0
             7,7,             7,1,             7,0,             7,376,             7,13285,             7,-860,             7,439,             7,4395,             7,-845582,             7,0,             7,18000,             7,2616,             7,0
             8,8,             8,1,             8,0,             8,377,             8,14223,             8,-860,             8,439,             8,4395,             8,-845582,             8,0,             8,18000,             8,2616,             8,0
             9,9,             9,1,             9,0,             9,378,             9,15114,             9,-860,             9,439,             9,4395,             9,-845582,             9,0,             9,18000,             9,2616,             9,0
            10,10,            10,1,            10,0,            10,379,            10,15954,            10,-860,            10,439,            10,4395,            10,-845582,            10,0,            10,18000,            10,2616,            10,0
            11,11,            11,1,            11,0,            11,380,            11,16742,            11,-860,            11,439,            11,4395,            11,-845582,            11,0,            11,18000,            11,2616,            11,0
            12,12,            12,1,            12,0,            12,382,            12,17474,            12,-860,            12,439,            12,4395,            12,-845582,            12,0,            12,18000,            12,2616,            12,0
            13,13,            13,1,            13,0,            13,383,            13,18149,            13,-860,            13,439,            13,4395,            13,-845582,            13,0,            13,18000,            13,2616,            13,0
            14,14,            14,1,            14,0,            14,384,            14,18763,            14,-860,            14,439,            14,4395,            14,-845582,            14,0,            14,18000,            14,2616,            14,0
            15,15,            15,1,            15,0,            15,386,            15,19315,            15,-860,            15,439,            15,4395,            15,-845582,            15,0,            15,18000,            15,2616,            15,0
            16,16,            16,1,            16,0,            16,387,            16,19803,            16,-860,            16,444,            16,4395,            16,-845582,            16,0,            16,18000,            16,2616,            16,0
            17,17,            17,1,            17,0,            17,388,            17,20224,            17,-960,            17,444,            17,4395,            17,-845582,            17,0,            17,18000,            17,2616,            17,0
            18,18,            18,1,            18,0,            18,390,            18,20578,            18,-960,            18,444,            18,4395,            18,-845582,            18,0,            18,18000,            18,2616,            18,0
            19,19,            19,1,            19,0,            19,391,            19,20864,            19,-960,            19,444,            19,4395,            19,-845582,            19,0,            19,18000,            19,2616,            19,0
            20,20,            20,1,            20,0,            20,393,            20,21080,            20,-960,            20,444,            20,4395,            20,-845582,            20,0,            20,18000,            20,2616,            20,0
            21,21,            21,1,            21,0,            21,394,            21,21225,            21,-960,            21,444,            21,4395,            21,-845582,            21,0,            21,18000,            21,2616,            21,0
            22,22,            22,1,            22,0,            22,395,            22,21299,            22,-960,            22,444,            22,4395,            22,-845582,            22,0,            22,18000,            22,2616,            22,0
            23,23,            23,1,            23,0,            23,397,            23,21302,            23,-960,            23,444,            23,4395,            23,-845582,            23,0,            23,18000,            23,2616,            23,0
            24,24,            24,1,            24,0,            24,398,            24,21233,            24,-960,            24,444,            24,4395,            24,-845582,            24,0,            24,18000,            24,2616,            24,0
            25,25,            25,1,            25,0,            25,400,            25,21092,            25,-960,            25,444,            25,4395,            25,-845582,            25,0,            25,18000,            25,2616,            25,0
            26,26,            26,1,            26,0,            26,401,            26,20880,            26,-960,            26,444,            26,4395,            26,-845582,            26,0,            26,18000,            26,2616,            26,0
            27,27,            27,1,            27,0,            27,403,            27,20598,            27,-960,            27,444,            27,4395,            27,-845582,            27,0,            27,18000,            27,2616,            27,0
            28,28,            28,1,            28,0,            28,404,            28,20246,            28,-960,            28,444,            28,4395,            28,-845582,            28,0,            28,18000,            28,2616,            28,0
            29,29,            29,1,            29,0,            29,405,            29,19826,            29,-960,            29,444,            29,4395,            29,-845582,            29,0,            29,18000,            29,2616,            29,0
            30,30,            30,1,            30,0,            30,407,            30,19338,            30,-960,            30,444,            30,4395,            30,-845582,            30,0,            30,18000,            30,2616,            30,0
            31,31,            31,1,            31,0,            31,408,            31,18784,            31,-960,            31,448,            31,4395,            31,-845582,            31,0,            31,18000,            31,2616,            31,0
            32,32,            32,1,            32,0,            32,409,            32,18166,            32,-3460,            32,448,            32,4395,            32,-845582,            32,0,            32,18000,            32,2616,            32,0
            33,33,            33,1,            33,0,            33,410,            33,17486,            33,-3460,            33,448,            33,4395,            33,-845582,            33,0,            33,18000,            33,2616,            33,0
            34,34,            34,1,            34,0,            34,412,            34,16746,            34,-3460,            34,448,            34,4395,            34,-845582,            34,0,            34,18000,            34,2616,            34,0
            35,35,            35,1,            35,0,            35,413,            35,15949,            35,-3460,            35,448,            35,4395,            35,-845582,            35,0,            35,18000,            35,2616,            35,0
            36,36,            36,1,            36,0,            36,414,            36,15096,            36,-3460,            36,448,            36,4395,            36,-845582,            36,0,            36,18000,            36,2616,            36,0
            37,37,            37,1,            37,0,            37,415,            37,14192,            37,-3460,            37,448,            37,4395,            37,-845582,            37,0,            37,18000,            37,2616,            37,0
            38,38,            38,1,            38,0,            38,415,            38,13238,            38,-3460,            38,448,            38,4395,            38,-845582,            38,0,            38,18000,            38,2616,            38,0
            39,39,            39,1,            39,0,            39,416,            39,12238,            39,-3460,            39,448,            39,4395,            39,-845582,            39,0,            39,18000,            39,2616,            39,0
            40,40,            40,1,            40,0,            40,417,            40,11195,            40,-3460,            40,448,            40,4395,            40,-845582,            40,0,            40,18000,            40,2616,            40,0
            41,41,            41,1,            41,0,            41,418,            41,10113,            41,-3460,            41,448,            41,4395,            41,-845582,            41,0,            41,18000,            41,2616,            41,0
            42,42,            42,1,            42,0,            42,418,            42,8996,            42,-3460,            42,448,            42,4395,            42,-845582,            42,0,            42,18000,            42,2616,            42,0
            43,43,            43,1,            43,0,            43,419,            43,7846,            43,-3460,            43,448,            43,4395,            43,-845582,            43,0,            43,18000,            43,2616,            43,0
            44,44,            44,1,            44,0,            44,419,            44,6668,            44,-3460,            44,448,            44,4395,            44,-845582,            44,0,            44,18000,            44,2616,            44,0
            45,45,            45,1,            45,0,            45,420,            45,5466,            45,-3460,            45,448,            45,4395,            45,-845582,            45,0,            45,18000,            45,2616,            45,0
            46,46,            46,1,            46,0,            46,420,            46,4245,            46,-3460,            46,453,            46,4395,            46,-845582,            46,0,            46,18000,            46,2616,            46,0
